Date,topic_counts
2017-07-25,"[14, 5, 34, 50, 2, 17, 7, 7, 2, 11, 31, 13, 161, 250, 26, 10, 16, 7, 15, 131, 1, 13, 314, 44, 10, 65, 51, 8, 54, 28, 6, 0, 34, 5, 30, 84, 40, 3, 84, 10, 5, 4, 16, 0, 1, 8, 26, 5, 105, 171, 32, 3, 0, 1, 5, 19, 109, 14, 9, 4, 154, 0, 44, 454, 28, 128, 14, 28, 7, 17, 0, 1, 554, 0, 8, 194, 16, 207, 8, 189, 4, 5, 0, 66, 7, 3, 471, 105, 3, 27, 17, 43, 253]"
2017-07-26,"[66, 12, 31, 30, 1, 11, 10, 3, 2, 10, 8, 10, 132, 238, 32, 9, 17, 3, 21, 103, 0, 9, 234, 72, 9, 72, 35, 7, 44, 22, 3, 0, 32, 6, 25, 57, 31, 1, 75, 11, 5, 3, 18, 3, 1, 26, 28, 1, 152, 164, 23, 11, 0, 8, 6, 13, 154, 13, 13, 2, 156, 0, 71, 410, 37, 95, 13, 33, 17, 10, 0, 1, 512, 1, 4, 209, 4, 181, 2, 181, 3, 0, 0, 50, 7, 1, 393, 83, 4, 36, 5, 49, 269]"
2017-07-27,"[32, 20, 53, 25, 1, 19, 5, 10, 0, 3, 13, 18, 136, 200, 22, 12, 17, 3, 7, 102, 0, 4, 248, 54, 7, 40, 32, 8, 48, 26, 17, 0, 74, 6, 28, 61, 33, 1, 76, 12, 9, 2, 16, 3, 2, 15, 11, 3, 101, 153, 30, 6, 0, 6, 5, 19, 135, 7, 6, 3, 156, 1, 62, 400, 18, 111, 14, 30, 14, 14, 1, 2, 503, 2, 12, 193, 2, 162, 7, 157, 2, 0, 0, 48, 15, 1, 380, 80, 0, 41, 6, 60, 266]"
2017-07-28,"[16, 14, 20, 43, 3, 30, 8, 4, 1, 7, 8, 6, 178, 243, 21, 11, 10, 1, 17, 89, 3, 7, 313, 56, 13, 48, 32, 10, 64, 29, 14, 0, 23, 9, 20, 131, 29, 0, 98, 7, 3, 2, 9, 6, 0, 9, 22, 2, 98, 226, 33, 3, 0, 4, 2, 9, 100, 1, 9, 2, 239, 0, 57, 427, 20, 154, 11, 32, 4, 6, 1, 2, 581, 5, 14, 217, 2, 237, 15, 213, 5, 6, 0, 70, 13, 1, 576, 69, 18, 26, 7, 77, 262]"
2017-07-29,"[14, 7, 27, 32, 4, 23, 7, 0, 0, 0, 20, 10, 82, 171, 12, 7, 5, 5, 6, 49, 1, 4, 185, 53, 11, 35, 31, 11, 41, 15, 9, 0, 27, 6, 17, 120, 41, 2, 37, 5, 2, 2, 8, 2, 2, 3, 12, 2, 106, 158, 17, 5, 0, 4, 1, 12, 99, 5, 13, 3, 166, 0, 40, 309, 22, 94, 13, 34, 4, 11, 0, 0, 383, 0, 8, 123, 1, 158, 12, 133, 1, 2, 0, 38, 22, 2, 308, 53, 7, 21, 4, 42, 199]"
2017-07-30,"[4, 7, 25, 22, 2, 10, 10, 4, 0, 1, 5, 5, 91, 136, 10, 3, 6, 3, 6, 29, 1, 13, 155, 40, 8, 22, 17, 24, 32, 12, 16, 0, 25, 7, 16, 100, 19, 2, 50, 5, 2, 2, 10, 0, 0, 6, 15, 4, 72, 133, 26, 0, 0, 1, 0, 5, 29, 1, 2, 1, 129, 2, 27, 227, 22, 72, 9, 28, 25, 11, 1, 5, 348, 1, 4, 131, 2, 153, 3, 108, 22, 1, 0, 41, 13, 0, 275, 37, 1, 23, 6, 46, 183]"
2017-07-31,"[13, 12, 19, 38, 3, 16, 6, 1, 0, 0, 6, 9, 174, 230, 9, 10, 4, 2, 19, 93, 2, 7, 271, 71, 11, 25, 28, 40, 71, 12, 12, 0, 24, 16, 51, 166, 40, 0, 85, 11, 4, 2, 32, 0, 4, 3, 19, 2, 112, 182, 24, 1, 0, 1, 4, 15, 63, 1, 31, 2, 184, 0, 82, 418, 44, 108, 16, 32, 11, 7, 2, 0, 528, 1, 6, 214, 5, 190, 6, 230, 1, 1, 0, 60, 14, 1, 468, 96, 6, 19, 15, 68, 268]"
2017-08-01,"[9, 19, 23, 59, 2, 21, 11, 1, 5, 1, 3, 19, 151, 287, 17, 10, 11, 8, 31, 96, 1, 11, 302, 112, 17, 37, 33, 19, 77, 21, 12, 1, 25, 3, 30, 351, 40, 3, 89, 33, 5, 1, 21, 6, 3, 8, 13, 4, 160, 253, 22, 2, 0, 2, 3, 10, 86, 5, 22, 10, 216, 0, 46, 589, 54, 185, 47, 36, 10, 14, 1, 3, 715, 2, 17, 290, 3, 273, 4, 289, 3, 2, 0, 53, 8, 1, 589, 63, 3, 35, 11, 61, 336]"
2017-08-02,"[14, 20, 27, 60, 11, 27, 11, 4, 1, 0, 4, 12, 104, 236, 19, 18, 4, 2, 25, 81, 7, 10, 256, 58, 9, 47, 30, 4, 51, 25, 10, 2, 28, 7, 14, 187, 54, 0, 51, 18, 6, 1, 17, 6, 1, 5, 13, 7, 130, 182, 23, 2, 2, 0, 0, 9, 72, 4, 28, 5, 215, 3, 65, 517, 47, 145, 16, 42, 14, 4, 2, 0, 573, 2, 37, 218, 1, 193, 8, 266, 7, 0, 0, 40, 11, 1, 438, 102, 4, 25, 1, 45, 352]"
2017-08-03,"[7, 10, 31, 32, 3, 24, 9, 5, 1, 1, 9, 6, 85, 211, 7, 6, 3, 7, 13, 88, 4, 11, 210, 42, 7, 57, 22, 10, 44, 19, 9, 2, 31, 8, 20, 108, 34, 3, 50, 9, 14, 0, 19, 3, 3, 5, 12, 3, 122, 155, 21, 2, 1, 2, 1, 21, 67, 0, 30, 2, 132, 0, 43, 421, 27, 121, 9, 22, 13, 14, 2, 1, 523, 3, 17, 197, 21, 181, 2, 206, 4, 2, 0, 32, 6, 0, 321, 93, 2, 11, 6, 54, 265]"
2017-08-04,"[20, 10, 24, 36, 3, 10, 6, 2, 2, 1, 10, 10, 101, 213, 11, 13, 3, 4, 24, 88, 2, 13, 195, 43, 6, 47, 15, 8, 42, 20, 4, 1, 24, 3, 22, 65, 36, 1, 63, 11, 5, 5, 13, 8, 5, 4, 9, 3, 115, 154, 21, 2, 0, 2, 0, 9, 48, 2, 15, 5, 141, 0, 64, 404, 18, 145, 10, 30, 28, 11, 0, 0, 520, 1, 9, 175, 3, 163, 1, 179, 2, 0, 0, 32, 11, 0, 378, 117, 4, 24, 3, 66, 182]"
2017-08-05,"[17, 12, 9, 38, 6, 5, 9, 5, 2, 4, 14, 20, 211, 207, 18, 24, 7, 3, 8, 89, 1, 13, 294, 104, 11, 63, 29, 14, 74, 16, 4, 0, 9, 6, 21, 67, 31, 2, 150, 23, 9, 1, 22, 3, 3, 4, 12, 1, 124, 217, 26, 8, 1, 3, 1, 7, 42, 9, 16, 5, 171, 1, 44, 355, 19, 83, 11, 24, 7, 5, 1, 1, 355, 1, 30, 324, 7, 223, 4, 208, 2, 1, 0, 78, 6, 1, 739, 63, 1, 20, 3, 64, 215]"
2017-08-06,"[8, 8, 7, 30, 3, 6, 4, 4, 0, 1, 8, 13, 85, 118, 11, 12, 2, 1, 8, 48, 0, 10, 183, 47, 9, 70, 12, 4, 31, 12, 9, 1, 7, 2, 11, 35, 18, 1, 58, 3, 9, 2, 13, 1, 0, 2, 3, 0, 74, 152, 9, 4, 0, 7, 0, 6, 34, 2, 14, 6, 104, 1, 25, 223, 13, 112, 6, 14, 5, 7, 1, 8, 345, 0, 10, 153, 3, 164, 6, 130, 3, 2, 0, 30, 3, 5, 384, 33, 2, 15, 2, 48, 137]"
2017-08-07,"[14, 10, 24, 49, 19, 11, 7, 1, 0, 7, 14, 19, 178, 206, 17, 11, 8, 2, 14, 94, 3, 13, 309, 71, 19, 91, 26, 10, 64, 20, 17, 0, 25, 8, 27, 50, 26, 3, 107, 15, 7, 12, 13, 2, 4, 3, 19, 1, 118, 199, 16, 0, 0, 1, 2, 8, 74, 7, 15, 7, 166, 0, 28, 389, 15, 128, 8, 24, 5, 12, 1, 3, 461, 1, 39, 233, 1, 221, 2, 177, 3, 7, 0, 55, 9, 0, 630, 95, 1, 18, 2, 56, 200]"
2017-08-08,"[4, 19, 39, 39, 11, 14, 10, 1, 1, 7, 3, 18, 178, 276, 22, 5, 8, 1, 14, 100, 1, 21, 263, 84, 18, 127, 29, 9, 66, 20, 10, 0, 39, 8, 33, 46, 23, 2, 106, 14, 16, 1, 23, 1, 1, 11, 22, 2, 97, 206, 25, 7, 1, 2, 1, 14, 54, 4, 6, 2, 175, 0, 31, 400, 20, 189, 12, 36, 22, 50, 1, 1, 578, 1, 39, 314, 0, 234, 12, 176, 5, 3, 0, 57, 10, 1, 624, 86, 3, 26, 5, 61, 243]"
2017-08-09,"[4, 7, 36, 26, 0, 10, 4, 2, 1, 4, 12, 12, 143, 257, 10, 21, 1, 5, 24, 96, 5, 21, 235, 56, 10, 138, 35, 2, 50, 24, 13, 0, 40, 3, 28, 80, 28, 3, 77, 11, 21, 7, 25, 6, 0, 11, 17, 7, 86, 194, 18, 14, 1, 4, 1, 28, 56, 7, 7, 2, 166, 9, 30, 453, 39, 165, 3, 22, 19, 10, 5, 0, 523, 1, 12, 200, 0, 203, 8, 178, 3, 8, 0, 41, 5, 0, 494, 74, 2, 14, 3, 62, 179]"
