Timestamp,mempool-size
2018-10-04 08:15:00,416466
2018-10-05 01:45:00,489049.5
2018-10-05 19:15:00,10798207
2018-10-06 12:45:00,976546
2018-10-07 06:15:00,395754.5
2018-10-07 23:45:00,3888237.5
2018-10-08 17:15:00,2856797
2018-10-09 10:45:00,4029434.5
2018-10-10 04:15:00,447009.5
2018-10-10 21:45:00,1983717.5
2018-10-11 15:15:00,3003910
2018-10-12 08:45:00,1360337
2018-10-13 02:15:00,1991424.5
2018-10-13 19:45:00,2041623.5
2018-10-14 13:15:00,3188238.5
2018-10-15 06:45:00,481199
2018-10-16 00:15:00,996630.5
2018-10-16 17:45:00,11676056
2018-10-17 11:15:00,1989805.5
2018-10-18 04:45:00,1275173
2018-10-18 22:15:00,1028990.5
2018-10-19 15:45:00,9747459
2018-10-20 09:15:00,1158792
2018-10-21 02:45:00,455851.5
2018-10-21 20:15:00,1582672.5
2018-10-22 13:45:00,8173658.5
2018-10-23 07:15:00,351899
2018-10-24 00:45:00,3621812
2018-10-24 18:15:00,7261457.5
2018-10-25 11:45:00,5402087
2018-10-26 05:15:00,1146389
2018-10-26 22:45:00,523328.5
2018-10-27 16:15:00,3384753.5
2018-10-28 09:45:00,2482429
2018-10-29 03:15:00,1862011.5
2018-10-29 20:45:00,8213104
2018-10-30 14:15:00,1820097.5
2018-10-31 07:45:00,852093
2018-11-01 01:15:00,2519237
2018-11-01 18:45:00,1749556
2018-11-02 12:15:00,9491943.5
2018-11-03 05:45:00,603470
2018-11-03 23:15:00,174473
2018-11-04 16:45:00,11118180
2018-11-05 10:15:00,4582901
2018-11-06 03:45:00,314236.5
2018-11-06 21:15:00,13892181.5
2018-11-07 14:45:00,9351975
2018-11-08 08:15:00,3873715.5
2018-11-09 01:45:00,2911781.5
2018-11-09 19:15:00,2261144.5
2018-11-10 12:45:00,6527024.5
2018-11-11 06:15:00,1224285
2018-11-11 23:45:00,2001444
2018-11-12 17:15:00,712344
2018-11-13 10:45:00,3977112
2018-11-14 04:15:00,728635.5
2018-11-14 21:45:00,20451508.5
2018-11-15 15:15:00,13388375
2018-11-16 08:45:00,3114375.5
2018-11-17 02:15:00,1362945.5
2018-11-17 19:45:00,1621338
2018-11-18 13:15:00,4774130.5
2018-11-19 06:45:00,1431858.5
2018-11-20 00:15:00,22663459
2018-11-20 17:45:00,29363602
2018-11-21 11:15:00,19550246
2018-11-22 04:45:00,10117355
2018-11-22 22:15:00,5300884
2018-11-23 15:45:00,6388996
2018-11-24 09:15:00,433627
2018-11-25 02:45:00,1946796
2018-11-25 20:15:00,4884665.5
2018-11-26 13:45:00,6386060.5
2018-11-27 07:15:00,1904821
2018-11-28 00:45:00,558301.5
2018-11-28 18:15:00,11549919
2018-11-29 11:45:00,8480437.5
2018-11-30 05:15:00,4778542
2018-11-30 22:45:00,12702699
2018-12-01 16:15:00,5284135
2018-12-02 09:45:00,1022210
2018-12-03 03:15:00,1657925
2018-12-03 20:45:00,10528765
2018-12-04 14:15:00,7956692
2018-12-05 07:45:00,1620191.5
2018-12-06 01:15:00,2572838
2018-12-06 18:45:00,3766768
2018-12-07 12:15:00,4080581.5
2018-12-08 05:45:00,387683
2018-12-08 23:15:00,2646512.5
2018-12-09 16:45:00,463405.5
2018-12-10 10:15:00,1797565
2018-12-11 03:45:00,1203823.5
2018-12-11 21:15:00,1137111
2018-12-12 14:45:00,9858549.5
2018-12-13 08:15:00,2806712
2018-12-14 01:45:00,1322964
2018-12-14 19:15:00,2336918.5
2018-12-15 12:45:00,3188259.5
2018-12-16 06:15:00,4237796
2018-12-16 23:45:00,2826943
2018-12-17 17:15:00,1570071
2018-12-18 10:45:00,1812281
2018-12-19 04:15:00,1763036
2018-12-19 21:45:00,1213695
2018-12-20 15:15:00,2728008
2018-12-21 08:45:00,1808545
2018-12-22 02:15:00,517497.5
2018-12-22 19:45:00,584053.5
2018-12-23 13:15:00,5095812
2018-12-24 06:45:00,669069.5
2018-12-25 00:15:00,1704206.5
2018-12-25 17:45:00,407158
2018-12-26 11:15:00,2778820
2018-12-27 04:45:00,960242.5
2018-12-27 22:15:00,1793864
2018-12-28 15:45:00,2184820.5
2018-12-29 09:15:00,2815883.5
2018-12-30 02:45:00,347696.5
2018-12-30 20:15:00,905201.5
2018-12-31 13:45:00,740068.5
2019-01-01 07:15:00,1018761.5
2019-01-02 00:45:00,703977.5
2019-01-02 18:15:00,271883
2019-01-03 11:45:00,1564596
2019-01-04 05:15:00,1350755.5
2019-01-04 22:45:00,827764.5
2019-01-05 16:15:00,324837
2019-01-06 09:45:00,1675999
2019-01-07 03:15:00,585231
2019-01-07 20:45:00,3139963.5
2019-01-08 14:15:00,4631405
2019-01-09 07:45:00,3255456.5
2019-01-10 01:15:00,956255
2019-01-10 18:45:00,2028146.5
2019-01-11 12:15:00,801298
2019-01-12 05:45:00,329036
2019-01-12 23:15:00,497328.5
2019-01-13 16:45:00,2698505.5
2019-01-14 10:15:00,4314080
2019-01-15 03:45:00,703753
2019-01-15 21:15:00,563070.5
2019-01-16 14:45:00,9471672
2019-01-17 08:15:00,3599172
2019-01-18 01:45:00,360503
2019-01-18 19:15:00,2176627
2019-01-19 12:45:00,604121.5
2019-01-20 06:15:00,1573862.5
2019-01-20 23:45:00,1556423.5
2019-01-21 17:15:00,566465
2019-01-22 10:45:00,1097335
2019-01-23 04:15:00,1328097.5
2019-01-23 21:45:00,10610849.5
2019-01-24 15:15:00,4867352.5
2019-01-25 08:45:00,1420385
2019-01-26 02:15:00,3319432
2019-01-26 19:45:00,2841816.5
2019-01-27 13:15:00,4416995
2019-01-28 06:45:00,256540.5
2019-01-29 00:15:00,2316667.5
2019-01-29 17:45:00,721922.5
2019-01-30 11:15:00,1498621.5
2019-01-31 04:45:00,1976968.5
2019-01-31 22:15:00,538624.5
2019-02-01 15:45:00,5487306.5
2019-02-02 09:15:00,1070303
2019-02-03 02:45:00,1828433
2019-02-03 20:15:00,939370
2019-02-04 13:45:00,1443332.5
2019-02-05 07:15:00,1083215
2019-02-06 00:45:00,704725.5
2019-02-06 18:15:00,2726812.5
2019-02-07 11:45:00,2586757.5
2019-02-08 05:15:00,525929.5
2019-02-08 22:45:00,514096.5
2019-02-09 16:15:00,1730392.5
2019-02-10 09:45:00,337999.5
2019-02-11 03:15:00,1032891
2019-02-11 20:45:00,27524842.5
2019-02-12 14:15:00,12584672.5
2019-02-13 07:45:00,5300957.5
2019-02-14 01:15:00,1096089.5
2019-02-14 18:45:00,4566469.5
2019-02-15 12:15:00,11022685.5
2019-02-16 05:45:00,3373378.5
2019-02-16 23:15:00,847229.5
2019-02-17 16:45:00,1923582
2019-02-18 10:15:00,5351322.5
2019-02-19 03:45:00,1844841.5
2019-02-19 21:15:00,10493716.5
2019-02-20 14:45:00,6782600
2019-02-21 08:15:00,2677267
2019-02-22 01:45:00,6027560
2019-02-22 19:15:00,5685115.5
2019-02-23 12:45:00,1640883.5
2019-02-24 06:15:00,3055411
2019-02-24 23:45:00,1837348.5
2019-02-25 17:15:00,11747593
2019-02-26 10:45:00,3516854.5
2019-02-27 04:15:00,2232133
2019-02-27 21:45:00,346926
2019-02-28 15:15:00,8533291.5
2019-03-01 08:45:00,790951
2019-03-02 02:15:00,2481674
2019-03-02 19:45:00,9989515.5
2019-03-03 13:15:00,3720686
2019-03-04 06:45:00,4308579
2019-03-05 00:15:00,3574905
2019-03-05 17:45:00,4325294.5
2019-03-06 11:15:00,4240365
2019-03-07 04:45:00,338467
2019-03-07 22:15:00,4459560.5
2019-03-08 15:45:00,4469206.5
2019-03-09 09:15:00,703638
2019-03-10 02:45:00,311690.5
2019-03-10 20:15:00,1963406.5
2019-03-11 13:45:00,5826578
2019-03-12 07:15:00,527123.5
2019-03-13 00:45:00,4047306.5
2019-03-13 18:15:00,11250698.5
2019-03-14 11:45:00,426470.5
2019-03-15 05:15:00,194475
2019-03-15 22:45:00,1793727.5
2019-03-16 16:15:00,438630.5
2019-03-17 09:45:00,2910696
2019-03-18 03:15:00,1574650.5
2019-03-18 20:45:00,3901210.5
2019-03-19 14:15:00,1406237
2019-03-20 07:45:00,234481.5
2019-03-21 01:15:00,5367668.5
2019-03-21 18:45:00,445232.5
2019-03-22 12:15:00,2968290
2019-03-23 05:45:00,418832
2019-03-23 23:15:00,730735.5
2019-03-24 16:45:00,784427
2019-03-25 10:15:00,2301420
2019-03-26 03:45:00,2911983
2019-03-26 21:15:00,15766711
2019-03-27 14:45:00,15209624.5
2019-03-28 08:15:00,14853364.5
2019-03-29 01:45:00,17929147
2019-03-29 19:15:00,22885457.5
2019-03-30 12:45:00,13961717
2019-03-31 06:15:00,9794212
2019-03-31 23:45:00,14274089
2019-04-01 17:15:00,30629144
2019-04-02 10:45:00,27202524
2019-04-03 04:15:00,32466409.5
2019-04-03 21:45:00,45796711
2019-04-04 15:15:00,48811016.5
2019-04-05 08:45:00,25021529
2019-04-06 02:15:00,8634392.5
2019-04-06 19:45:00,14986353.5
2019-04-07 13:15:00,7521281
2019-04-08 06:45:00,5646211
2019-04-09 00:15:00,3290348
2019-04-09 17:45:00,11242346.5
2019-04-10 11:15:00,11966165
2019-04-11 04:45:00,3906359
2019-04-11 22:15:00,2409687.5
2019-04-12 15:45:00,4805517.5
2019-04-13 09:15:00,3717974.5
2019-04-14 02:45:00,1970913.5
2019-04-14 20:15:00,4217490.5
2019-04-15 13:45:00,4458550
2019-04-16 07:15:00,7895768
2019-04-17 00:45:00,7570327.5
2019-04-17 18:15:00,14191681
2019-04-18 11:45:00,14061786
2019-04-19 05:15:00,9140598
2019-04-19 22:45:00,4577215.5
2019-04-20 16:15:00,22986032
2019-04-21 09:45:00,3648594
2019-04-22 03:15:00,1753446.5
2019-04-22 20:45:00,13458461
2019-04-23 14:15:00,25854542
2019-04-24 07:45:00,18532663
2019-04-25 01:15:00,12236674.5
2019-04-25 18:45:00,15345381
2019-04-26 12:15:00,11964808.5
2019-04-27 05:45:00,3682551.5
2019-04-27 23:15:00,3167580
2019-04-28 16:45:00,3031676.5
2019-04-29 10:15:00,8924583.5
2019-04-30 03:45:00,6105755.5
2019-04-30 21:15:00,15481668
2019-05-01 14:45:00,6672402
2019-05-02 08:15:00,2459502
2019-05-03 01:45:00,2941601.5
2019-05-03 19:15:00,15245145
2019-05-04 12:45:00,3690597.5
2019-05-05 06:15:00,5064969.5
2019-05-05 23:45:00,3612197
2019-05-06 17:15:00,13691240
2019-05-07 10:45:00,10446009
2019-05-08 04:15:00,11672092
2019-05-08 21:45:00,14413212.5
2019-05-09 15:15:00,21151729.5
2019-05-10 08:45:00,14419559.5
2019-05-11 02:15:00,24019575.5
2019-05-11 19:45:00,25861358
2019-05-12 13:15:00,19663651
2019-05-13 06:45:00,8477512
2019-05-14 00:15:00,8664424.5
2019-05-14 17:45:00,29601496.5
2019-05-15 11:15:00,23926793
2019-05-16 04:45:00,33299870.5
2019-05-16 22:15:00,41973328
2019-05-17 15:45:00,49276198.5
2019-05-18 09:15:00,28989781
2019-05-19 02:45:00,7185630.5
2019-05-19 20:15:00,2347973
2019-05-20 13:45:00,10059466
2019-05-21 07:15:00,8581578
2019-05-22 00:45:00,13387500
2019-05-22 18:15:00,9526416
2019-05-23 11:45:00,3911211.5
2019-05-24 05:15:00,8378842
2019-05-24 22:45:00,10499237
2019-05-25 16:15:00,12141911.5
2019-05-26 09:45:00,758006.5
2019-05-27 03:15:00,3065635.5
2019-05-27 20:45:00,10102582.5
2019-05-28 14:15:00,11110170.5
2019-05-29 07:45:00,3656943
2019-05-30 01:15:00,2942437.5
2019-05-30 18:45:00,18232180
2019-05-31 12:15:00,21466951.5
2019-06-01 05:45:00,15296574.5
2019-06-01 23:15:00,8562680
2019-06-02 16:45:00,13442115
2019-06-03 10:15:00,13464089
2019-06-04 03:45:00,18888741.5
2019-06-04 21:15:00,14348993.5
2019-06-05 14:45:00,9514486.5
2019-06-06 08:15:00,5260736.5
2019-06-07 01:45:00,364551.5
2019-06-07 19:15:00,10107309
2019-06-08 12:45:00,482496
2019-06-09 06:15:00,586159.5
2019-06-09 23:45:00,2021975
2019-06-10 17:15:00,7742216
2019-06-11 10:45:00,14948506
2019-06-12 04:15:00,9419028
2019-06-12 21:45:00,10922833.5
2019-06-13 15:15:00,16766147
2019-06-14 08:45:00,13934863.5
2019-06-15 02:15:00,11683365.5
2019-06-15 19:45:00,8762129
2019-06-16 13:15:00,11879088.5
2019-06-17 06:45:00,13315552
2019-06-18 00:15:00,20737135.5
2019-06-18 17:45:00,11380499
2019-06-19 11:15:00,5128223
2019-06-20 04:45:00,5871700.5
2019-06-20 22:15:00,16699660.5
2019-06-21 15:45:00,30319315.5
2019-06-22 09:15:00,24146898.5
2019-06-23 02:45:00,17072180.5
2019-06-23 20:15:00,783586
2019-06-24 13:45:00,14611373.5
2019-06-25 07:15:00,2478646
2019-06-26 00:45:00,14808831
2019-06-26 18:15:00,32833055
2019-06-27 11:45:00,45114007
2019-06-28 05:15:00,30206614.5
2019-06-28 22:45:00,28256183.5
2019-06-29 16:15:00,737776.5
2019-06-30 09:45:00,2387697.5
2019-07-01 03:15:00,2776935.5
2019-07-01 20:45:00,17508164.5
2019-07-02 14:15:00,20662908.5
2019-07-03 07:45:00,658408
2019-07-04 01:15:00,529614
2019-07-04 18:45:00,7830764
2019-07-05 12:15:00,6544981
2019-07-06 05:45:00,1240375.5
2019-07-06 23:15:00,576550.5
2019-07-07 16:45:00,3466000
2019-07-08 10:15:00,5234442
2019-07-09 03:45:00,759707
2019-07-09 21:15:00,11451182.5
2019-07-10 14:45:00,21209080
2019-07-11 08:15:00,17788194.5
2019-07-12 02:00:00,23187184.5
2019-07-12 19:30:00,12875670.5
2019-07-13 13:00:00,890381
2019-07-14 06:30:00,256030.5
2019-07-15 00:00:00,2113758
2019-07-15 17:30:00,16301802.5
2019-07-16 11:00:00,1057901.5
2019-07-17 04:30:00,1250207.5
2019-07-17 22:00:00,36884866.5
2019-07-18 15:30:00,40952723
2019-07-19 09:00:00,38723912
2019-07-20 03:00:00,22227634.5
2019-07-20 20:30:00,450700.5
2019-07-21 14:00:00,6123183
2019-07-22 07:30:00,1477268
2019-07-23 01:00:00,2077184.5
2019-07-23 18:30:00,4212998
2019-07-24 12:00:00,792363
2019-07-25 05:30:00,4564660.5
2019-07-25 23:00:00,975048.5
2019-07-26 16:30:00,435786.5
2019-07-27 10:00:00,907686.5
2019-07-28 03:30:00,821946
2019-07-28 21:00:00,363907.5
2019-07-29 14:30:00,4027981.5
2019-07-30 08:00:00,2349153.5
2019-07-31 01:30:00,3374102.5
2019-07-31 19:00:00,1338774
2019-08-01 12:30:00,4336141
