Timestamp,median-confirmation-time
2018-11-06 00:00:00,10.6833333333333
2018-11-07 00:00:00,11.3541666666667
2018-11-08 00:00:00,12.25
2018-11-09 00:00:00,10.7
2018-11-10 00:00:00,8.73333333333333
2018-11-11 00:00:00,5.8875
2018-11-12 00:00:00,9.875
2018-11-13 00:00:00,12.1083333333333
2018-11-14 00:00:00,10.3666666666667
2018-11-15 00:00:00,12.7166666666667
2018-11-16 00:00:00,12.2541666666667
2018-11-17 00:00:00,6.30833333333333
2018-11-18 00:00:00,10.1666666666667
2018-11-19 00:00:00,8.7625
2018-11-20 00:00:00,12.0875
2018-11-21 00:00:00,15.4166666666667
2018-11-22 00:00:00,11.5666666666667
2018-11-23 00:00:00,12.1333333333333
2018-11-24 00:00:00,8.2
2018-11-25 00:00:00,8.91666666666667
2018-11-26 00:00:00,14.3666666666667
2018-11-27 00:00:00,10.2166666666667
2018-11-28 00:00:00,11.9
2018-11-29 00:00:00,13.7666666666667
2018-11-30 00:00:00,15.3166666666667
2018-12-01 00:00:00,9.84166666666667
2018-12-02 00:00:00,8.9
2018-12-03 00:00:00,10.1375
2018-12-04 00:00:00,9.25833333333333
2018-12-05 00:00:00,8.39166666666667
2018-12-06 00:00:00,9.48333333333333
2018-12-07 00:00:00,13.125
2018-12-08 00:00:00,9.23333333333333
2018-12-09 00:00:00,8.425
2018-12-10 00:00:00,9.88333333333333
2018-12-11 00:00:00,8.91666666666667
2018-12-12 00:00:00,11.65
2018-12-13 00:00:00,9.21666666666667
2018-12-14 00:00:00,7.225
2018-12-15 00:00:00,6.46666666666667
2018-12-16 00:00:00,9.41666666666667
2018-12-17 00:00:00,6.87083333333333
2018-12-18 00:00:00,10.0333333333333
2018-12-19 00:00:00,8.48333333333333
2018-12-20 00:00:00,8.51666666666667
2018-12-21 00:00:00,7.75
2018-12-22 00:00:00,4.73333333333333
2018-12-23 00:00:00,5.29166666666667
2018-12-24 00:00:00,6.21666666666667
2018-12-25 00:00:00,5.75
2018-12-26 00:00:00,5.625
2018-12-27 00:00:00,4.6125
2018-12-28 00:00:00,5.41666666666667
2018-12-29 00:00:00,7.75416666666667
2018-12-30 00:00:00,3.89583333333333
2018-12-31 00:00:00,5.36666666666667
2019-01-01 00:00:00,4.31666666666667
2019-01-02 00:00:00,7.66666666666667
2019-01-03 00:00:00,6.11666666666667
2019-01-04 00:00:00,6.83333333333333
2019-01-05 00:00:00,4.36666666666667
2019-01-06 00:00:00,7.25
2019-01-07 00:00:00,8.46666666666667
2019-01-08 00:00:00,6.5
2019-01-09 00:00:00,6.0625
2019-01-10 00:00:00,7.85833333333333
2019-01-11 00:00:00,7.175
2019-01-12 00:00:00,6.8
2019-01-13 00:00:00,7.23333333333333
2019-01-14 00:00:00,6.56666666666667
2019-01-15 00:00:00,9.48333333333333
2019-01-16 00:00:00,8.55
2019-01-17 00:00:00,8.7
2019-01-18 00:00:00,8.78333333333333
2019-01-19 00:00:00,7.58333333333333
2019-01-20 00:00:00,5.26666666666667
2019-01-21 00:00:00,7.6
2019-01-22 00:00:00,8.75833333333333
2019-01-23 00:00:00,7.01666666666667
2019-01-24 00:00:00,7.47916666666667
2019-01-25 00:00:00,9.30416666666667
2019-01-26 00:00:00,7.2
2019-01-27 00:00:00,7.98333333333333
2019-01-28 00:00:00,8.25
2019-01-29 00:00:00,7.90416666666667
2019-01-30 00:00:00,8.825
2019-01-31 00:00:00,6.43333333333333
2019-02-01 00:00:00,7.67083333333333
2019-02-02 00:00:00,7.575
2019-02-03 00:00:00,9.49166666666667
2019-02-04 00:00:00,6.41666666666667
2019-02-05 00:00:00,7.125
2019-02-06 00:00:00,6.09583333333333
2019-02-07 00:00:00,5.73333333333333
2019-02-08 00:00:00,6.71666666666667
2019-02-09 00:00:00,7.34166666666667
2019-02-10 00:00:00,8.20833333333333
2019-02-11 00:00:00,7.61666666666667
2019-02-12 00:00:00,10.3916666666667
2019-02-13 00:00:00,9.88333333333333
2019-02-14 00:00:00,8.06666666666667
2019-02-15 00:00:00,11.75
2019-02-16 00:00:00,7.325
2019-02-17 00:00:00,6.875
2019-02-18 00:00:00,6.85
2019-02-19 00:00:00,8.98333333333333
2019-02-20 00:00:00,11.4083333333333
2019-02-21 00:00:00,12.6833333333333
2019-02-22 00:00:00,8.675
2019-02-23 00:00:00,7.93333333333333
2019-02-24 00:00:00,10.1916666666667
2019-02-25 00:00:00,8.70833333333333
2019-02-26 00:00:00,6.78333333333333
2019-02-27 00:00:00,7.88333333333333
2019-02-28 00:00:00,7.525
2019-03-01 00:00:00,7.19166666666667
2019-03-02 00:00:00,9.525
2019-03-03 00:00:00,7.41666666666667
2019-03-04 00:00:00,10.675
2019-03-05 00:00:00,7.8
2019-03-06 00:00:00,12.05
2019-03-07 00:00:00,9.64583333333333
