Time,anxbtc,bitflyer,kraken
2017-07-20 00:00:00 UTC,,275776.465106676,279252.510210109
2017-07-21 00:00:00 UTC,,293731.400751735,301035.921190778
2017-07-22 00:00:00 UTC,,302550.743997145,306932.516271455
2017-07-23 00:00:00 UTC,,304824.201482638,308076.011498965
2017-07-24 00:00:00 UTC,,305503.054200238,306536.401901437
2017-07-25 00:00:00 UTC,,293961.317720163,293897.601065805
2017-07-26 00:00:00 UTC,,281726.468050649,281758.341864166
2017-07-27 00:00:00 UTC,,288272.329253548,288826.172975351
2017-07-28 00:00:00 UTC,,305462.785474468,305772.672489917
2017-07-29 00:00:00 UTC,,304370.777707187,303968.942153887
2017-07-30 00:00:00 UTC,,302422.96619302,302724.158318417
2017-07-31 00:00:00 UTC,,312357.843085315,312312.669423935
2017-08-01 00:00:00 UTC,,310882.74477396,311554.588805847
2017-08-02 00:00:00 UTC,,302672.890826423,303845.523319098
2017-08-03 00:00:00 UTC,,304198.346851778,304457.911337453
2017-08-04 00:00:00 UTC,,313837.617047928,314055.150479756
2017-08-05 00:00:00 UTC,,349675.342040572,349396.347763129
2017-08-06 00:00:00 UTC,,359814.238055325,359137.4100835
2017-08-07 00:00:00 UTC,,368450.361197776,366920.704303856
2017-08-08 00:00:00 UTC,,384245.348337231,383773.149236073
2017-08-09 00:00:00 UTC,,375292.834253097,374153.845900666
2017-08-10 00:00:00 UTC,,376328.014517287,377326.045852027
2017-08-11 00:00:00 UTC,,385155.582427367,386603.419432665
2017-08-12 00:00:00 UTC,,414024.618219203,414732.594769978
2017-08-13 00:00:00 UTC,,450865.096944329,447510.863453812
2017-08-14 00:00:00 UTC,,464840.663379497,464132.791020164
2017-08-15 00:00:00 UTC,,470187.176126461,467621.034850797
2017-08-16 00:00:00 UTC,,463101.761719015,462409.79454385
2017-08-17 00:00:00 UTC,,479079.064701857,481439.475122206
2017-08-18 00:00:00 UTC,,467932.0611905,468526.710638278
2017-08-19 00:00:00 UTC,,449595.205716412,453775.589097477
2017-08-20 00:00:00 UTC,,451520.404812805,451697.380491885
2017-08-21 00:00:00 UTC,,443656.907239212,445527.924186159
2017-08-22 00:00:00 UTC,,431753.691825284,432512.476313984
2017-08-23 00:00:00 UTC,,457958.318853477,456469.923898321
2017-08-24 00:00:00 UTC,,460688.572733305,461207.440971161
2017-08-25 00:00:00 UTC,,476178.465613643,477035.108034951
2017-08-26 00:00:00 UTC,,474031.627181051,473880.453148632
2017-08-27 00:00:00 UTC,,476716.468027159,476660.214631786
2017-08-28 00:00:00 UTC,,472680.337377603,477295.823672394
2017-08-29 00:00:00 UTC,,484602.313865547,488103.54190945
2017-08-30 00:00:00 UTC,,503230.955050676,503946.603308053
2017-08-31 00:00:00 UTC,,515528.441596475,518901.64502718
2017-09-01 00:00:00 UTC,,531916.15918987,533639.246359766
2017-09-02 00:00:00 UTC,,526377.401554191,527941.610403317
2017-09-03 00:00:00 UTC,,519876.362217017,520917.030416545
2017-09-04 00:00:00 UTC,,499000.475469327,497854.838508493
2017-09-05 00:00:00 UTC,,478031.487676129,484251.120861161
2017-09-06 00:00:00 UTC,,503151.871858163,507646.04455715
2017-09-07 00:00:00 UTC,,502438.220673073,508709.13059811
2017-09-08 00:00:00 UTC,,488821.035068724,490370.602078731
2017-09-09 00:00:00 UTC,,466111.425102381,472234.610135073
2017-09-10 00:00:00 UTC,,452694.141784296,457070.013933243
2017-09-11 00:00:00 UTC,,458285.214981235,461230.33790637
2017-09-12 00:00:00 UTC,,463958.967415564,469902.739986375
2017-09-13 00:00:00 UTC,,433899.841859916,434391.673449713
2017-09-14 00:00:00 UTC,,392933.063094641,401156.544139358
2017-09-15 00:00:00 UTC,,371022.844137298,377828.013687975
2017-09-16 00:00:00 UTC,,408738.968352906,413347.161139692
2017-09-17 00:00:00 UTC,,399671.408529991,403674.820583368
2017-09-18 00:00:00 UTC,,430482.772607457,435509.554173941
2017-09-19 00:00:00 UTC,,440009.729749622,444252.242902913
2017-09-20 00:00:00 UTC,,435326.429017739,438078.513783013
2017-09-21 00:00:00 UTC,,425467.783560229,426154.164123198
2017-09-22 00:00:00 UTC,,407519.314498637,408800.451788178
2017-09-23 00:00:00 UTC,,416810.312699984,418975.12492254
2017-09-24 00:00:00 UTC,,415556.381438991,417218.980880317
2017-09-25 00:00:00 UTC,,425246.965736273,429361.913779495
2017-09-26 00:00:00 UTC,,433426.424654438,438027.53431742
2017-09-27 00:00:00 UTC,,444753.436482455,449236.119955925
2017-09-28 00:00:00 UTC,,466842.749491296,470635.99401521
2017-09-29 00:00:00 UTC,,461050.841413971,463980.846781449
2017-09-30 00:00:00 UTC,,476209.67370943,477461.754489856
2017-10-01 00:00:00 UTC,,482130.100952835,481903.351958144
2017-10-02 00:00:00 UTC,,493541.737670395,494515.085810411
2017-10-03 00:00:00 UTC,,487035.025032561,485524.878006716
2017-10-04 00:00:00 UTC,,479643.031080454,480131.837288426
2017-10-05 00:00:00 UTC,,477959.823319607,478046.817576758
2017-10-06 00:00:00 UTC,,489601.409376878,493739.517265765
2017-10-07 00:00:00 UTC,,487751.018888138,490578.335118849
2017-10-08 00:00:00 UTC,,501193.980106061,504085.760105837
2017-10-09 00:00:00 UTC,,517335.756350489,521030.807586886
2017-10-10 00:00:00 UTC,,538485.574903606,540702.515858496
2017-10-11 00:00:00 UTC,,536912.109766712,537431.316623431
2017-10-12 00:00:00 UTC,,570689.715543801,572176.000956347
2017-10-13 00:00:00 UTC,,633305.654382757,634425.47182518
2017-10-14 00:00:00 UTC,,636077.956746203,636962.727144271
2017-10-15 00:00:00 UTC,,630414.964680163,632911.180962038
2017-10-16 00:00:00 UTC,,633931.219963579,635581.961703641
2017-10-17 00:00:00 UTC,,631638.007240223,634700.370336322
2017-10-18 00:00:00 UTC,,608819.373095599,612659.22562512
2017-10-19 00:00:00 UTC,,635198.628229658,638744.001565881
2017-10-20 00:00:00 UTC,,650821.491879926,650349.542069969
2017-10-21 00:00:00 UTC,,691642.396348706,693163.766805396
2017-10-22 00:00:00 UTC,,673060.696099281,677400.325204779
2017-10-23 00:00:00 UTC,,670499.515186329,671618.644563477
2017-10-24 00:00:00 UTC,,639794.611758692,643446.776640135
2017-10-25 00:00:00 UTC,,623235.133578343,631062.951479302
2017-10-26 00:00:00 UTC,,658194.162603435,663479.889560187
2017-10-27 00:00:00 UTC,,659752.847730565,662810.604110077
2017-10-28 00:00:00 UTC,,650045.815139176,655085.661764706
2017-10-29 00:00:00 UTC,,661630.594590817,666587.943374156
2017-10-30 00:00:00 UTC,,682398.672347795,687493.098941749
2017-10-31 00:00:00 UTC,,699020.014506259,704611.819850172
2017-11-01 00:00:00 UTC,,736996.368929156,739522.645562498
2017-11-02 00:00:00 UTC,,796936.483593256,798547.988574719
2017-11-03 00:00:00 UTC,,829492.165898727,829525.436151501
2017-11-04 00:00:00 UTC,,828276.771405599,828920.441863868
2017-11-05 00:00:00 UTC,,854604.136044954,856223.907924989
2017-11-06 00:00:00 UTC,,840674.3555098,835508.014935065
2017-11-07 00:00:00 UTC,,820848.031288086,820738.17632548
2017-11-08 00:00:00 UTC,,841252.123298002,841142.864859327
2017-11-09 00:00:00 UTC,,834829.659445298,837511.208901068
2017-11-10 00:00:00 UTC,,793032.547698511,795242.228874637
2017-11-11 00:00:00 UTC,,741433.111654786,745739.654972129
