Date,BTC_FUTURES_High,BTC_FUTURES_Low,BTC_FUTURES_Open,BTC_FUTURES_Close,BTC_FUTURES_Volume,BTC_FUTURES_AdjClose
2019-09-10,10455.0,9945.0,10360.0,10060.0,3400.0,10060.0
2019-09-11,10345.0,9900.0,10145.0,10125.0,3528.0,10125.0
2019-09-12,10470.0,10085.0,10160.0,10410.0,3099.0,10410.0
2019-09-13,10560.0,10205.0,10480.0,10265.0,2876.0,10265.0
2019-09-14,,,,,,
2019-09-15,,,,,,
2019-09-16,10430.0,10105.0,10335.0,10135.0,2313.0,10135.0
2019-09-17,10405.0,10185.0,10305.0,10305.0,1583.0,10305.0
2019-09-18,10310.0,10120.0,10250.0,10205.0,1581.0,10205.0
2019-09-19,10450.0,9605.0,10315.0,10155.0,4344.0,10155.0
2019-09-20,10355.0,10095.0,10155.0,10180.0,2400.0,10180.0
2019-09-21,,,,,,
2019-09-22,,,,,,
2019-09-23,10125.0,9690.0,10125.0,9805.0,4645.0,9805.0
2019-09-24,9780.0,7995.0,9770.0,8380.0,10527.0,8380.0
2019-09-25,8785.0,8205.0,8670.0,8350.0,5824.0,8350.0
2019-09-26,8670.0,7710.0,8515.0,8145.0,5369.0,8145.0
2019-09-27,8140.0,7940.0,8085.0,8004.4599609375,3497.0,8004.4599609375
2019-09-28,,,,,,
2019-09-29,,,,,,
2019-09-30,8415.0,7710.0,8090.0,8335.0,4976.0,8335.0
2019-10-01,8560.0,8235.0,8360.0,8325.0,3539.0,8325.0
2019-10-02,8400.0,8185.0,8330.0,8270.0,1861.0,8270.0
2019-10-03,8435.0,8075.0,8285.0,8160.0,2581.0,8160.0
2019-10-04,8310.0,8020.0,8165.0,8225.0,1994.0,8225.0
2019-10-05,,,,,,
2019-10-06,,,,,,
2019-10-07,8350.0,7745.0,7900.0,8255.0,5782.0,8255.0
2019-10-08,8365.0,8095.0,8260.0,8170.0,2275.0,8170.0
2019-10-09,8780.0,8125.0,8185.0,8645.0,4716.0,8645.0
2019-10-10,8670.0,8445.0,8605.0,8595.0,2716.0,8595.0
2019-10-11,8850.0,8285.0,8595.0,8355.0,4134.0,8355.0
2019-10-12,,,,,,
2019-10-13,,,,,,
2019-10-14,8435.0,8220.0,8255.0,8355.0,1774.0,8355.0
2019-10-15,8435.0,8085.0,8340.0,8170.0,2752.0,8170.0
2019-10-16,8195.0,7900.0,8150.0,7950.0,3685.0,7950.0
2019-10-17,8150.0,7935.0,7975.0,8060.0,2582.0,8060.0
2019-10-18,8130.0,7805.0,8065.0,7960.0,3414.0,7960.0
2019-10-19,,,,,,
2019-10-20,,,,,,
2019-10-21,8380.0,8160.0,8255.0,8205.0,3642.0,8205.0
2019-10-22,8330.0,8065.0,8230.0,8165.0,2446.0,8165.0
2019-10-23,8110.0,7245.0,8080.0,7475.0,5767.0,7475.0
2019-10-24,7515.0,7355.0,7420.0,7490.0,3210.0,7490.0
2019-10-25,7720.0,7400.0,7450.0,7678.490234375,8600.0,7678.490234375
2019-10-26,,,,,,
2019-10-27,,,,,,
2019-10-28,10050.0,9330.0,9700.0,9530.0,6474.0,9530.0
2019-10-29,9655.0,9155.0,9585.0,9315.0,3035.0,9315.0
2019-10-30,9565.0,9060.0,9540.0,9270.0,3553.0,9270.0
2019-10-31,9510.0,9000.0,9225.0,9305.0,2086.0,9305.0
2019-11-01,9360.0,9120.0,9230.0,9235.0,2641.0,9235.0
2019-11-02,,,,,,
2019-11-03,,,,,,
2019-11-04,9790.0,9170.0,9270.0,9565.0,3453.0,9565.0
2019-11-05,9580.0,8360.0,9480.0,9420.0,2875.0,9420.0
2019-11-06,9515.0,9325.0,9405.0,9360.0,1366.0,9360.0
2019-11-07,9460.0,9125.0,9425.0,9220.0,3323.0,9220.0
2019-11-08,9305.0,8680.0,9260.0,8845.0,5487.0,8845.0
2019-11-09,,,,,,
2019-11-10,,,,,,
2019-11-11,9135.0,8585.0,9100.0,8750.0,3623.0,8750.0
2019-11-12,8915.0,8555.0,8735.0,8835.0,3545.0,8835.0
2019-11-13,8880.0,8730.0,8815.0,8785.0,2121.0,8785.0
2019-11-14,8830.0,8590.0,8805.0,8675.0,2337.0,8675.0
2019-11-15,8820.0,8355.0,8680.0,8505.0,4095.0,8505.0
2019-11-16,,,,,,
2019-11-17,,,,,,
2019-11-18,8565.0,8005.0,8550.0,8205.0,4004.0,8205.0
2019-11-19,8215.0,8005.0,8200.0,8110.0,3007.0,8110.0
2019-11-20,8275.0,8045.0,8145.0,8110.0,3885.0,8110.0
2019-11-21,8140.0,7360.0,8110.0,7580.0,5630.0,7580.0
2019-11-22,7735.0,6775.0,7620.0,7330.0,9941.0,7330.0
2019-11-23,,,,,,
2019-11-24,,,,,,
2019-11-25,7375.0,6510.0,7050.0,7165.0,10022.0,7165.0
2019-11-26,7345.0,7015.0,7205.0,7115.0,5897.0,7115.0
2019-11-27,7700.0,6835.0,7150.0,7570.0,8583.0,7570.0
2019-11-28,,,,,,
2019-11-29,,,,,,
2019-11-30,,,,,,
2019-12-01,,,,,,
