Date,DOT1_High,DOT1_Low,DOT1_Open,DOT1_Close,DOT1_Volume,DOT1_AdjClose
2021-01-15,14.855377197265625,11.851578712463379,14.522520065307617,13.212381362915039,6159630996.0,13.212381362915039
2021-01-16,19.32206153869629,13.185754776000977,13.198049545288086,18.180423736572266,8917081506.0,18.180423736572266
2021-01-17,18.15034294128418,16.408960342407227,18.15034294128418,16.984254837036133,6091648732.0,16.984254837036133
2021-01-18,18.10170555114746,15.824630737304688,16.99701499938965,16.512928009033203,3888179751.0,16.512928009033203
2021-01-19,17.467544555664062,16.048328399658203,16.52107810974121,16.468509674072266,3414422602.0,16.468509674072266
2021-01-20,18.125743865966797,14.83346939086914,16.452497482299805,17.948930740356445,4624508717.0,17.948930740356445
2021-01-21,18.06077003479004,15.052482604980469,17.979413986206055,15.94483757019043,4843725549.0,15.94483757019043
2021-01-22,17.983863830566406,14.891925811767578,15.931008338928223,17.161439895629883,2991599975.0,17.161439895629883
2021-01-23,18.753698348999023,16.87032127380371,17.159589767456055,18.59819984436035,2842317183.0,18.59819984436035
2021-01-24,18.72452735900879,17.380525588989258,18.60063362121582,17.999649047851562,2800444853.0,17.999649047851562
2021-01-25,19.051944732666016,17.119709014892578,17.997594833374023,17.250455856323242,3351498659.0,17.250455856323242
2021-01-26,17.76909828186035,16.07543182373047,17.244647979736328,17.117761611938477,2588253411.0,17.117761611938477
2021-01-27,17.116113662719727,15.08426570892334,17.116113662719727,15.504861831665039,2973163193.0,15.504861831665039
2021-01-28,16.925334930419922,15.35657024383545,15.498236656188965,16.8591365814209,3192851611.0,16.8591365814209
2021-01-29,17.642789840698242,16.032001495361328,17.10266876220703,16.841611862182617,3657663582.0,16.841611862182617
2021-01-30,17.050155639648438,16.161949157714844,16.836750030517578,16.506908416748047,1998709419.0,16.506908416748047
2021-01-31,17.456100463867188,15.813972473144531,16.511579513549805,16.121315002441406,2540474629.0,16.121315002441406
2021-02-01,16.516582489013672,15.743364334106445,16.123022079467773,16.375776290893555,2228986207.0,16.375776290893555
2021-02-02,17.603918075561523,16.03933334350586,16.38133430480957,17.263256072998047,2658383685.0,17.263256072998047
2021-02-03,20.733652114868164,16.84036636352539,17.247201919555664,20.733652114868164,4685307861.0,20.733652114868164
2021-02-04,21.555950164794922,19.043312072753906,20.728294372558594,19.70218276977539,4858842246.0,19.70218276977539
2021-02-05,21.283489227294922,19.531709671020508,19.688629150390625,20.90267562866211,3387079061.0,20.90267562866211
2021-02-06,21.298307418823242,19.814205169677734,20.892112731933594,20.395479202270508,2622835075.0,20.395479202270508
2021-02-07,20.77747917175293,18.62379264831543,20.390621185302734,19.793615341186523,3038407999.0,19.793615341186523
2021-02-08,23.608169555664062,19.233234405517578,19.78141975402832,23.031898498535156,4736654530.0,23.031898498535156
2021-02-09,24.054412841796875,22.36963653564453,23.03005599975586,23.12996482849121,3446396914.0,23.12996482849121
2021-02-10,24.78626823425293,22.13630485534668,23.11301612854004,23.585050582885742,4203061885.0,23.585050582885742
2021-02-11,25.577707290649414,23.33354949951172,23.590524673461914,25.230295181274414,4060334812.0,25.230295181274414
2021-02-12,29.668529510498047,24.549880981445312,25.174123764038086,28.69125747680664,4562466560.0,28.69125747680664
2021-02-13,30.146411895751953,27.473081588745117,28.687116622924805,28.016725540161133,4947621076.0,28.016725540161133
2021-02-14,29.372905731201172,26.543989181518555,28.01349449157715,27.095735549926758,3550653217.0,27.095735549926758
2021-02-15,29.448110580444336,23.612611770629883,27.064634323120117,27.780893325805664,5407907535.0,27.780893325805664
2021-02-16,30.973859786987305,26.960908889770508,27.76352882385254,30.159910202026367,5274752208.0,30.159910202026367
