Timestamp,transaction-fees-usd
2018-07-30 00:00:00,200054.184517275
2018-07-31 00:00:00,202219.56656257
2018-08-01 00:00:00,161214.41249393
2018-08-02 00:00:00,193030.280732095
2018-08-03 00:00:00,171881.96598986
2018-08-04 00:00:00,125027.929135194
2018-08-05 00:00:00,95829.1552113537
2018-08-06 00:00:00,123908.765004891
2018-08-07 00:00:00,131492.040602105
2018-08-08 00:00:00,134249.43027917
2018-08-09 00:00:00,132699.52833635
2018-08-10 00:00:00,130895.7935981
2018-08-11 00:00:00,95204.294828035
2018-08-12 00:00:00,80499.2894175841
2018-08-13 00:00:00,128277.978463075
2018-08-14 00:00:00,160161.565475781
2018-08-15 00:00:00,142342.926065755
2018-08-16 00:00:00,152509.179387397
2018-08-17 00:00:00,160857.428387609
2018-08-18 00:00:00,107768.284958695
2018-08-19 00:00:00,109303.826815916
2018-08-20 00:00:00,189779.800552754
2018-08-21 00:00:00,158413.945151134
2018-08-22 00:00:00,161682.059575095
2018-08-23 00:00:00,124090.982951965
2018-08-24 00:00:00,125616.192216679
2018-08-25 00:00:00,141286.195319345
2018-08-26 00:00:00,191108.520188025
2018-08-27 00:00:00,219469.612188182
2018-08-28 00:00:00,315293.354754515
2018-08-29 00:00:00,166887.29520273
2018-08-30 00:00:00,166539.055672555
2018-08-31 00:00:00,176232.417610505
2018-09-01 00:00:00,136407.16361698
2018-09-02 00:00:00,118074.04117121
2018-09-03 00:00:00,144667.409790355
2018-09-04 00:00:00,176736.98399027
2018-09-05 00:00:00,225073.525225562
2018-09-06 00:00:00,200958.4502189
2018-09-07 00:00:00,182256.56987112
2018-09-08 00:00:00,119780.897814245
2018-09-09 00:00:00,117282.3585849
2018-09-10 00:00:00,126012.86292146
2018-09-11 00:00:00,146228.103815113
2018-09-12 00:00:00,150980.541990679
2018-09-13 00:00:00,130676.604334405
2018-09-14 00:00:00,140059.49383109
2018-09-15 00:00:00,102279.192429919
2018-09-16 00:00:00,85286.025417265
2018-09-17 00:00:00,111626.428757833
2018-09-18 00:00:00,120983.454192985
2018-09-19 00:00:00,110586.242954615
2018-09-20 00:00:00,117083.462585404
2018-09-21 00:00:00,171010.969391005
2018-09-22 00:00:00,125988.41959022
2018-09-23 00:00:00,97098.5093975501
2018-09-24 00:00:00,104869.198440365
2018-09-25 00:00:00,132527.29507351
2018-09-26 00:00:00,131904.390486491
2018-09-27 00:00:00,154145.691517297
2018-09-28 00:00:00,193153.514955975
2018-09-29 00:00:00,124988.22801963
2018-09-30 00:00:00,101669.200418012
2018-10-01 00:00:00,143575.59185899
2018-10-02 00:00:00,168222.5877939
2018-10-03 00:00:00,138393.761514691
2018-10-04 00:00:00,123012.015364823
2018-10-05 00:00:00,139715.578384735
2018-10-06 00:00:00,115700.46483046
2018-10-07 00:00:00,86934.06286407
2018-10-08 00:00:00,111758.82577343
2018-10-09 00:00:00,109822.912384475
2018-10-10 00:00:00,101932.224848035
2018-10-11 00:00:00,118582.00615162
2018-10-12 00:00:00,114373.632294055
2018-10-13 00:00:00,83113.418348625
2018-10-14 00:00:00,77285.145250625
2018-10-15 00:00:00,148939.20585919
2018-10-16 00:00:00,124361.505671581
2018-10-17 00:00:00,123343.68675844
