Timestamp,estimated-transaction-volume
2018-03-21 00:00:00,116440.08659449
2018-03-22 00:00:00,112702.15145632
2018-03-23 00:00:00,110642.21472773
2018-03-24 00:00:00,70255.22054964
2018-03-25 00:00:00,105825.41526348
2018-03-26 00:00:00,124837.25443802
2018-03-27 00:00:00,118459.94509903
2018-03-28 00:00:00,107913.83021102
2018-03-29 00:00:00,150158.72822356
2018-03-30 00:00:00,177530.33853903
2018-03-31 00:00:00,79991.72072854
2018-04-01 00:00:00,86133.1555443499
2018-04-02 00:00:00,110068.82873236
2018-04-03 00:00:00,133852.20395338
2018-04-04 00:00:00,110965.61120402
2018-04-05 00:00:00,112177.22907878
2018-04-06 00:00:00,108538.67894632
2018-04-07 00:00:00,94943.22492621
2018-04-08 00:00:00,80835.1504356099
2018-04-09 00:00:00,114599.80056914
2018-04-10 00:00:00,120032.31391682
2018-04-11 00:00:00,137653.17686588
2018-04-12 00:00:00,182577.60319632
2018-04-13 00:00:00,144308.29009319
2018-04-14 00:00:00,64658.99849488
2018-04-15 00:00:00,67923.73120369
2018-04-16 00:00:00,108195.60696197
2018-04-17 00:00:00,115918.26781873
2018-04-18 00:00:00,102568.57977623
2018-04-19 00:00:00,167636.84581575
2018-04-20 00:00:00,130982.91168306
2018-04-21 00:00:00,113075.41335848
2018-04-22 00:00:00,75772.24207642
2018-04-23 00:00:00,131451.15375978
2018-04-24 00:00:00,188947.24806828
2018-04-25 00:00:00,182321.10271922
2018-04-26 00:00:00,153472.32939378
2018-04-27 00:00:00,137832.97239504
2018-04-28 00:00:00,181496.65283805
2018-04-29 00:00:00,111520.9811707
2018-04-30 00:00:00,111808.71123176
2018-05-01 00:00:00,94831.04724597
2018-05-02 00:00:00,148772.59043457
2018-05-03 00:00:00,137704.23928306
2018-05-04 00:00:00,147326.30019705
2018-05-05 00:00:00,105033.80093888
2018-05-06 00:00:00,102606.56203805
2018-05-07 00:00:00,139041.28363146
2018-05-08 00:00:00,141050.96343243
2018-05-09 00:00:00,134032.00105616
2018-05-10 00:00:00,147010.54915426
2018-05-11 00:00:00,150246.76958199
2018-05-12 00:00:00,108590.35837089
2018-05-13 00:00:00,72791.52752957
2018-05-14 00:00:00,218669.27317225
2018-05-15 00:00:00,127053.61452274
2018-05-16 00:00:00,163709.18621139
2018-05-17 00:00:00,239749.03587405
2018-05-18 00:00:00,217257.88853753
2018-05-19 00:00:00,69258.31272579
2018-05-20 00:00:00,60574.81708491
2018-05-21 00:00:00,94655.0691273701
2018-05-22 00:00:00,109440.13169692
2018-05-23 00:00:00,137159.63824964
2018-05-24 00:00:00,132765.30943142
2018-05-25 00:00:00,105922.96589606
2018-05-26 00:00:00,57883.28354626
2018-05-27 00:00:00,55156.26843977
2018-05-28 00:00:00,142198.95375539
2018-05-29 00:00:00,123808.71566001
2018-05-30 00:00:00,122565.28186151
2018-05-31 00:00:00,110610.19089246
2018-06-01 00:00:00,115082.96418138
2018-06-02 00:00:00,68084.92814719
2018-06-03 00:00:00,63586.47651149
2018-06-04 00:00:00,103191.06680438
2018-06-05 00:00:00,100695.49782987
2018-06-06 00:00:00,102125.84032165
2018-06-07 00:00:00,104275.28480214
2018-06-08 00:00:00,109203.30318025
2018-06-09 00:00:00,67150.24534698
2018-06-10 00:00:00,96374.39547151
2018-06-11 00:00:00,139263.30481878
2018-06-12 00:00:00,126796.26063644
2018-06-13 00:00:00,162000.16368328
2018-06-14 00:00:00,128266.46471757
2018-06-15 00:00:00,125284.06637524
2018-06-16 00:00:00,61035.98130678
2018-06-17 00:00:00,66538.79284904
2018-06-18 00:00:00,102492.49229511
2018-06-19 00:00:00,106824.89484388
2018-06-20 00:00:00,96696.64608428
2018-06-21 00:00:00,106868.49577031
2018-06-22 00:00:00,139066.27734528
2018-06-23 00:00:00,72223.57781248
2018-06-24 00:00:00,96575.55706309
2018-06-25 00:00:00,110438.13308687
2018-06-26 00:00:00,97662.61815475
2018-06-27 00:00:00,129636.33921232
2018-06-28 00:00:00,117832.15028735
2018-06-29 00:00:00,110801.81275775
2018-06-30 00:00:00,82832.66572052
2018-07-01 00:00:00,156527.31453502
2018-07-02 00:00:00,112986.14767016
2018-07-03 00:00:00,133468.22434974
2018-07-04 00:00:00,100970.19836395
2018-07-05 00:00:00,99701.07869663
2018-07-06 00:00:00,123863.50938152
2018-07-07 00:00:00,56348.7283069
2018-07-08 00:00:00,84412.33099726
2018-07-09 00:00:00,95508.90090779
2018-07-10 00:00:00,130092.79338628
2018-07-11 00:00:00,110950.30883423
2018-07-12 00:00:00,109759.56466708
2018-07-13 00:00:00,108183.08988126
2018-07-14 00:00:00,54585.49956239
2018-07-15 00:00:00,56376.2719242
2018-07-16 00:00:00,114418.44005346
2018-07-17 00:00:00,122040.02126665
2018-07-18 00:00:00,145957.88028447
2018-07-19 00:00:00,134422.75978267
2018-07-20 00:00:00,109510.71103217
2018-07-21 00:00:00,72037.49838477
2018-07-22 00:00:00,53147.20542212
2018-07-23 00:00:00,121830.82924959
2018-07-24 00:00:00,143048.84387971
2018-07-25 00:00:00,122048.88419943
2018-07-26 00:00:00,101634.50375445
2018-07-27 00:00:00,110689.70702294
2018-07-28 00:00:00,63140.85524892
2018-07-29 00:00:00,88720.62690695
2018-07-30 00:00:00,106625.90657694
2018-07-31 00:00:00,115565.8388714
2018-08-01 00:00:00,94246.95105974
2018-08-02 00:00:00,136730.89997241
2018-08-03 00:00:00,125025.88092394
2018-08-04 00:00:00,65849.13586153
2018-08-05 00:00:00,53460.26157189
2018-08-06 00:00:00,104968.69776034
2018-08-07 00:00:00,94874.79518835
2018-08-08 00:00:00,121965.4515345
2018-08-09 00:00:00,146500.59873039
2018-08-10 00:00:00,118704.23237602
2018-08-11 00:00:00,81985.52720055
2018-08-12 00:00:00,52911.9729427
2018-08-13 00:00:00,133117.74061006
2018-08-14 00:00:00,174756.67755621
2018-08-15 00:00:00,139731.30593396
2018-08-16 00:00:00,108291.35438602
2018-08-17 00:00:00,121209.34691359
2018-08-18 00:00:00,58157.43305442
2018-08-19 00:00:00,42573.98299395
2018-08-20 00:00:00,100254.08704014
2018-08-21 00:00:00,136643.37322861
2018-08-22 00:00:00,155662.41564123
2018-08-23 00:00:00,137478.91672202
2018-08-24 00:00:00,101079.93408633
2018-08-25 00:00:00,76480.86699603
2018-08-26 00:00:00,57884.26825733
2018-08-27 00:00:00,117539.09593461
2018-08-28 00:00:00,139981.86373915
2018-08-29 00:00:00,123431.91842179
2018-08-30 00:00:00,115317.20580681
2018-08-31 00:00:00,124281.24133195
2018-09-01 00:00:00,74829.35577503
2018-09-02 00:00:00,61620.4373048
2018-09-03 00:00:00,99809.2155674801
2018-09-04 00:00:00,115634.76453139
2018-09-05 00:00:00,133041.21616556
2018-09-06 00:00:00,168447.98857039
2018-09-07 00:00:00,115752.44482164
2018-09-08 00:00:00,57255.76266626
2018-09-09 00:00:00,74324.23464826
2018-09-10 00:00:00,112735.09928441
2018-09-11 00:00:00,117778.93706773
2018-09-12 00:00:00,106750.1765978
2018-09-13 00:00:00,193728.12236403
2018-09-14 00:00:00,113998.01673189
2018-09-15 00:00:00,57528.2677257
2018-09-16 00:00:00,43827.29300977
2018-09-17 00:00:00,89722.98460494
2018-09-18 00:00:00,96970.36644241
2018-09-19 00:00:00,111850.02172733
2018-09-20 00:00:00,106443.20546576
2018-09-21 00:00:00,147934.62604296
2018-09-22 00:00:00,69125.50220616
2018-09-23 00:00:00,50088.41556267
2018-09-24 00:00:00,77312.2098320599
2018-09-25 00:00:00,132989.31304651
2018-09-26 00:00:00,116668.9816268
2018-09-27 00:00:00,126129.93324774
2018-09-28 00:00:00,137336.05132336
2018-09-29 00:00:00,70886.84278193
2018-09-30 00:00:00,63803.98514462
2018-10-01 00:00:00,104521.23748128
2018-10-02 00:00:00,126366.95828697
2018-10-03 00:00:00,114587.95392339
2018-10-04 00:00:00,102191.80613948
2018-10-05 00:00:00,95772.50767858
2018-10-06 00:00:00,59251.46792762
2018-10-07 00:00:00,38328.30629141
2018-10-08 00:00:00,95479.4055692
2018-10-09 00:00:00,106727.57894567
2018-10-10 00:00:00,115412.58970185
