Timestamp,trade-volume
2018-03-11 00:00:00,897354070.8552
2018-03-12 00:00:00,1308310990.257
2018-03-13 00:00:00,1268254508.4
2018-03-14 00:00:00,1112391454.4028
2018-03-15 00:00:00,1350460234.5024
2018-03-16 00:00:00,1403735130.4002
2018-03-17 00:00:00,973873396.0022
2018-03-18 00:00:00,784350039.6144
2018-03-19 00:00:00,1474300640.8642
2018-03-20 00:00:00,1353859594.1104
2018-03-21 00:00:00,1059662670.087
2018-03-22 00:00:00,880254488.372
2018-03-23 00:00:00,946210970.4005
2018-03-24 00:00:00,884262667.288
2018-03-25 00:00:00,720411912.128
2018-03-26 00:00:00,579084803.85
2018-03-27 00:00:00,994371402.87
2018-03-28 00:00:00,821305395.075
2018-03-29 00:00:00,589107762.5112
2018-03-30 00:00:00,1228494330.492
2018-03-31 00:00:00,1459007284.3164
2018-04-01 00:00:00,828105595.6824
2018-04-02 00:00:00,813154210.591
2018-04-03 00:00:00,689971563.5379
2018-04-04 00:00:00,841607108.5016
2018-04-05 00:00:00,780572816.9231
2018-04-06 00:00:00,691743079.4208
2018-04-07 00:00:00,513594758.6484
2018-04-08 00:00:00,518768966.856
2018-04-09 00:00:00,378054921.6189
2018-04-10 00:00:00,836397533.2548
2018-04-11 00:00:00,380694984.387
2018-04-12 00:00:00,408957431.832
2018-04-13 00:00:00,1477855674.802
2018-04-14 00:00:00,1040511128.8275
2018-04-15 00:00:00,464835469.7978
2018-04-16 00:00:00,529840058.865
2018-04-17 00:00:00,667447487.6257
2018-04-18 00:00:00,513033431.7891
2018-04-19 00:00:00,547100495.37
2018-04-20 00:00:00,537680761.8004
2018-04-21 00:00:00,894778482.4696
2018-04-22 00:00:00,750430994.908
2018-04-23 00:00:00,545385760.3392
2018-04-24 00:00:00,491744749.628
2018-04-25 00:00:00,1227082384.8822
2018-04-26 00:00:00,1558858006.6094
2018-04-27 00:00:00,937521482.1819
2018-04-28 00:00:00,622772523.1995
2018-04-29 00:00:00,786961062.8607
2018-04-30 00:00:00,571160692.608
2018-05-01 00:00:00,512078867.4795
2018-05-02 00:00:00,590794538.2206
2018-05-03 00:00:00,478747022.8256
2018-05-04 00:00:00,826646057.0515
2018-05-05 00:00:00,611265269.7247
2018-05-06 00:00:00,619793485.4432
2018-05-07 00:00:00,531232089.8976
2018-05-08 00:00:00,614648751.144
2018-05-09 00:00:00,593072495.682
2018-05-10 00:00:00,565867529.934
2018-05-11 00:00:00,539595278.9484
2018-05-12 00:00:00,1023115026.1137
2018-05-13 00:00:00,695724449.4096
2018-05-14 00:00:00,465297919.5022
2018-05-15 00:00:00,791362349.4604
