Timestamp,n-transactions-total
2011-06-03 00:00:00,607637
2011-06-06 00:00:00,633426
2011-06-09 00:00:00,663999
2011-06-12 00:00:00,698337
2011-06-15 00:00:00,736136
2011-06-18 00:00:00,772962
2011-06-21 00:00:00,807078
2011-06-24 00:00:00,838751
2011-06-27 00:00:00,869460
2011-06-30 00:00:00,901855
2011-07-03 00:00:00,930034
2011-07-06 00:00:00,957005
2011-07-09 00:00:00,985227
2011-07-12 00:00:00,1012002
2011-07-15 00:00:00,1038023
2011-07-18 00:00:00,1063347
2011-07-21 00:00:00,1090253
2011-07-24 00:00:00,1114890
2011-07-27 00:00:00,1141000
2011-07-30 00:00:00,1164379
2011-08-02 00:00:00,1186975
2011-08-05 00:00:00,1211802
2011-08-08 00:00:00,1232602
2011-08-11 00:00:00,1257474
2011-08-14 00:00:00,1279613
2011-08-17 00:00:00,1305191
2011-08-20 00:00:00,1327860
2011-08-23 00:00:00,1350513
2011-08-26 00:00:00,1372434
2011-08-29 00:00:00,1391867
2011-09-01 00:00:00,1415021
2011-09-04 00:00:00,1435204
2011-09-07 00:00:00,1457332
2011-09-10 00:00:00,1478228
2011-09-13 00:00:00,1497195
2011-09-16 00:00:00,1516381
2011-09-19 00:00:00,1534053
2011-09-22 00:00:00,1556614
2011-09-25 00:00:00,1574748
2011-09-28 00:00:00,1592314
2011-10-01 00:00:00,1609722
2011-10-04 00:00:00,1626669
2011-10-07 00:00:00,1644109
2011-10-10 00:00:00,1660608
2011-10-13 00:00:00,1678394
2011-10-16 00:00:00,1695053
2011-10-19 00:00:00,1710749
2011-10-22 00:00:00,1725647
2011-10-25 00:00:00,1742318
2011-10-28 00:00:00,1757548
2011-10-31 00:00:00,1773216
2011-11-03 00:00:00,1790113
2011-11-06 00:00:00,1808836
2011-11-09 00:00:00,1825483
2011-11-12 00:00:00,1843082
2011-11-15 00:00:00,1859842
2011-11-18 00:00:00,1877026
2011-11-21 00:00:00,1892048
2011-11-24 00:00:00,1907855
2011-11-27 00:00:00,1923128
2011-11-30 00:00:00,1940579
2011-12-03 00:00:00,1960034
2011-12-06 00:00:00,1977332
2011-12-09 00:00:00,1997246
2011-12-12 00:00:00,2013872
2011-12-15 00:00:00,2029751
2011-12-18 00:00:00,2044776
2011-12-21 00:00:00,2061514
2011-12-24 00:00:00,2078604
2011-12-27 00:00:00,2094238
2011-12-30 00:00:00,2109651
2012-01-02 00:00:00,2124845
2012-01-05 00:00:00,2141802
2012-01-08 00:00:00,2161342
2012-01-11 00:00:00,2180452
2012-01-14 00:00:00,2201124
2012-01-17 00:00:00,2221206
2012-01-20 00:00:00,2241589
2012-01-23 00:00:00,2260033
2012-01-26 00:00:00,2281446
2012-01-29 00:00:00,2300283
2012-02-01 00:00:00,2319723
2012-02-04 00:00:00,2340449
2012-02-07 00:00:00,2360562
2012-02-10 00:00:00,2382119
2012-02-13 00:00:00,2405291
2012-02-16 00:00:00,2432258
2012-02-19 00:00:00,2454923
2012-02-22 00:00:00,2473595
2012-02-25 00:00:00,2495812
2012-02-28 00:00:00,2514670
2012-03-02 00:00:00,2534962
2012-03-05 00:00:00,2554315
2012-03-08 00:00:00,2574258
2012-03-11 00:00:00,2592841
2012-03-14 00:00:00,2611618
2012-03-17 00:00:00,2631707
2012-03-20 00:00:00,2651310
2012-03-23 00:00:00,2671690
2012-03-26 00:00:00,2690347
2012-03-29 00:00:00,2710879
2012-04-01 00:00:00,2731514
2012-04-04 00:00:00,2751309
2012-04-07 00:00:00,2772152
2012-04-10 00:00:00,2790733
2012-04-13 00:00:00,2815352
2012-04-16 00:00:00,2837823
2012-04-19 00:00:00,2862799
2012-04-22 00:00:00,2886185
2012-04-25 00:00:00,2907339
2012-04-28 00:00:00,2932046
2012-05-01 00:00:00,2956670
2012-05-04 00:00:00,2990876
2012-05-07 00:00:00,3029104
2012-05-10 00:00:00,3082407
2012-05-13 00:00:00,3131585
2012-05-16 00:00:00,3196801
2012-05-19 00:00:00,3256934
2012-05-22 00:00:00,3354714
2012-05-25 00:00:00,3432404
2012-05-28 00:00:00,3510999
2012-05-31 00:00:00,3596692
2012-06-03 00:00:00,3657304
2012-06-06 00:00:00,3780999
2012-06-09 00:00:00,3854429
2012-06-12 00:00:00,3960341
2012-06-15 00:00:00,4097822
2012-06-18 00:00:00,4239669
2012-06-21 00:00:00,4347208
2012-06-24 00:00:00,4419553
2012-06-27 00:00:00,4500973
2012-06-30 00:00:00,4581177
2012-07-03 00:00:00,4648366
2012-07-06 00:00:00,4715628
2012-07-09 00:00:00,4785908
2012-07-12 00:00:00,4877845
2012-07-15 00:00:00,4949089
2012-07-18 00:00:00,5042031
2012-07-21 00:00:00,5142579
2012-07-24 00:00:00,5244986
2012-07-27 00:00:00,5331059
2012-07-30 00:00:00,5428001
2012-08-02 00:00:00,5534741
2012-08-05 00:00:00,5624370
2012-08-08 00:00:00,5722485
2012-08-11 00:00:00,5821082
2012-08-14 00:00:00,5937610
2012-08-17 00:00:00,6071949
2012-08-20 00:00:00,6186236
2012-08-23 00:00:00,6302819
2012-08-26 00:00:00,6399905
2012-08-29 00:00:00,6493359
2012-09-01 00:00:00,6601644
2012-09-04 00:00:00,6713836
2012-09-07 00:00:00,6837762
2012-09-10 00:00:00,6934150
2012-09-13 00:00:00,7033762
2012-09-16 00:00:00,7126105
2012-09-19 00:00:00,7212065
2012-09-22 00:00:00,7305777
2012-09-25 00:00:00,7384773
2012-09-28 00:00:00,7469875
2012-10-01 00:00:00,7547257
2012-10-04 00:00:00,7632216
2012-10-07 00:00:00,7733871
2012-10-10 00:00:00,7842090
2012-10-13 00:00:00,7929341
2012-10-16 00:00:00,8020804
2012-10-19 00:00:00,8115294
2012-10-22 00:00:00,8211789
2012-10-25 00:00:00,8320171
2012-10-28 00:00:00,8384780
2012-10-31 00:00:00,8455169
2012-11-03 00:00:00,8535419
2012-11-06 00:00:00,8615670
2012-11-09 00:00:00,8716877
2012-11-12 00:00:00,8792250
2012-11-15 00:00:00,8873531
2012-11-18 00:00:00,8983131
2012-11-21 00:00:00,9091249
2012-11-24 00:00:00,9192843
2012-11-27 00:00:00,9295334
2012-11-30 00:00:00,9397510
2012-12-03 00:00:00,9481642
2012-12-06 00:00:00,9569862
2012-12-09 00:00:00,9672147
2012-12-12 00:00:00,9777350
2012-12-15 00:00:00,9895478
2012-12-18 00:00:00,10004591
2012-12-21 00:00:00,10134769
2012-12-24 00:00:00,10267838
2012-12-27 00:00:00,10368446
2012-12-30 00:00:00,10497706
2013-01-02 00:00:00,10604939
2013-01-05 00:00:00,10735762
2013-01-08 00:00:00,10847978
2013-01-11 00:00:00,10983128
2013-01-14 00:00:00,11130720
2013-01-17 00:00:00,11274106
2013-01-20 00:00:00,11427380
2013-01-23 00:00:00,11552685
2013-01-26 00:00:00,11694549
2013-01-29 00:00:00,11854609
2013-02-01 00:00:00,11999063
2013-02-04 00:00:00,12173379
2013-02-07 00:00:00,12325072
2013-02-10 00:00:00,12504929
2013-02-13 00:00:00,12677518
2013-02-16 00:00:00,12842453
2013-02-19 00:00:00,12994659
2013-02-22 00:00:00,13164934
2013-02-25 00:00:00,13341899
2013-02-28 00:00:00,13533350
2013-03-03 00:00:00,13717007
2013-03-06 00:00:00,13892078
2013-03-09 00:00:00,14077212
2013-03-12 00:00:00,14266151
2013-03-15 00:00:00,14429629
2013-03-18 00:00:00,14561854
2013-03-21 00:00:00,14697928
2013-03-24 00:00:00,14866678
2013-03-27 00:00:00,15016413
2013-03-30 00:00:00,15192028
2013-04-02 00:00:00,15348705
2013-04-05 00:00:00,15542903
2013-04-08 00:00:00,15719501
2013-04-11 00:00:00,15912417
2013-04-14 00:00:00,16092587
2013-04-17 00:00:00,16270075
2013-04-20 00:00:00,16433334
2013-04-23 00:00:00,16572838
2013-04-26 00:00:00,16761409
2013-04-29 00:00:00,16903517
2013-05-02 00:00:00,17057977
2013-05-05 00:00:00,17215503
2013-05-08 00:00:00,17375748
2013-05-11 00:00:00,17560459
2013-05-14 00:00:00,17760476
2013-05-17 00:00:00,17952352
2013-05-20 00:00:00,18111167
2013-05-23 00:00:00,18266162
2013-05-26 00:00:00,18432573
2013-05-29 00:00:00,18582894
2013-06-01 00:00:00,18749567
2013-06-04 00:00:00,18909748
2013-06-07 00:00:00,19078987
2013-06-10 00:00:00,19223705
2013-06-13 00:00:00,19364077
2013-06-16 00:00:00,19493039
2013-06-19 00:00:00,19627938
2013-06-22 00:00:00,19774768
2013-06-25 00:00:00,19901753
2013-06-28 00:00:00,20038441
2013-07-01 00:00:00,20155097
2013-07-04 00:00:00,20269479
2013-07-07 00:00:00,20375282
2013-07-10 00:00:00,20486099
2013-07-13 00:00:00,20617572
2013-07-16 00:00:00,20726896
2013-07-19 00:00:00,20848097
2013-07-22 00:00:00,20953905
2013-07-25 00:00:00,21074800
2013-07-28 00:00:00,21191307
2013-07-31 00:00:00,21313183
2013-08-03 00:00:00,21465143
2013-08-06 00:00:00,21604855
2013-08-09 00:00:00,21774612
2013-08-12 00:00:00,21914116
2013-08-15 00:00:00,22069560
2013-08-18 00:00:00,22255423
2013-08-21 00:00:00,22446300
2013-08-24 00:00:00,22628700
2013-08-27 00:00:00,22781271
2013-08-30 00:00:00,22967152
2013-09-02 00:00:00,23123793
2013-09-05 00:00:00,23279924
2013-09-08 00:00:00,23453708
2013-09-11 00:00:00,23610978
2013-09-14 00:00:00,23757260
2013-09-17 00:00:00,23906651
2013-09-20 00:00:00,24094919
2013-09-23 00:00:00,24257204
2013-09-26 00:00:00,24440315
2013-09-29 00:00:00,24586988
2013-10-02 00:00:00,24732277
2013-10-05 00:00:00,24905523
2013-10-08 00:00:00,25038817
2013-10-11 00:00:00,25191430
2013-10-14 00:00:00,25343881
2013-10-17 00:00:00,25507804
2013-10-20 00:00:00,25669973
2013-10-23 00:00:00,25844793
2013-10-26 00:00:00,26020892
2013-10-29 00:00:00,26163601
2013-11-01 00:00:00,26320015
2013-11-04 00:00:00,26440582
2013-11-07 00:00:00,26593539
2013-11-10 00:00:00,26767727
2013-11-13 00:00:00,26941000
2013-11-16 00:00:00,27136315
2013-11-19 00:00:00,27314947
2013-11-22 00:00:00,27556415
2013-11-25 00:00:00,27766172
2013-11-28 00:00:00,28016959
2013-12-01 00:00:00,28279868
2013-12-04 00:00:00,28507087
2013-12-07 00:00:00,28741955
2013-12-10 00:00:00,28920764
2013-12-13 00:00:00,29114019
2013-12-16 00:00:00,29280084
2013-12-19 00:00:00,29498725
2013-12-22 00:00:00,29690651
2013-12-25 00:00:00,29853500
2013-12-28 00:00:00,30013037
2013-12-31 00:00:00,30167590
2014-01-03 00:00:00,30313980
2014-01-06 00:00:00,30486098
2014-01-09 00:00:00,30677910
2014-01-12 00:00:00,30847437
2014-01-15 00:00:00,31008284
2014-01-18 00:00:00,31185351
2014-01-21 00:00:00,31348239
2014-01-24 00:00:00,31550122
2014-01-27 00:00:00,31723577
2014-01-30 00:00:00,31913041
2014-02-02 00:00:00,32089375
2014-02-05 00:00:00,32268683
2014-02-08 00:00:00,32477054
2014-02-11 00:00:00,32665337
2014-02-14 00:00:00,32862409
2014-02-17 00:00:00,33056768
2014-02-20 00:00:00,33253995
2014-02-23 00:00:00,33451837
2014-02-26 00:00:00,33666854
2014-03-01 00:00:00,33880663
2014-03-04 00:00:00,34082262
2014-03-07 00:00:00,34309391
2014-03-10 00:00:00,34508559
2014-03-13 00:00:00,34732004
2014-03-16 00:00:00,34935902
2014-03-19 00:00:00,35116674
2014-03-22 00:00:00,35333620
2014-03-25 00:00:00,35528649
2014-03-28 00:00:00,35740352
2014-03-31 00:00:00,35916891
2014-04-03 00:00:00,36113750
2014-04-06 00:00:00,36301952
2014-04-09 00:00:00,36486104
2014-04-12 00:00:00,36684903
2014-04-15 00:00:00,36853958
2014-04-18 00:00:00,37060438
2014-04-21 00:00:00,37220092
2014-04-24 00:00:00,37431721
2014-04-27 00:00:00,37627735
2014-04-30 00:00:00,37809733
2014-05-03 00:00:00,37993792
2014-05-06 00:00:00,38167287
2014-05-09 00:00:00,38382829
2014-05-12 00:00:00,38558920
2014-05-15 00:00:00,38772059
2014-05-18 00:00:00,38965893
2014-05-21 00:00:00,39151200
2014-05-24 00:00:00,39366798
2014-05-27 00:00:00,39543531
2014-05-30 00:00:00,39749554
2014-06-02 00:00:00,39922562
2014-06-05 00:00:00,40122179
2014-06-08 00:00:00,40302605
2014-06-11 00:00:00,40473834
2014-06-14 00:00:00,40665742
2014-06-17 00:00:00,40842229
2014-06-20 00:00:00,41037924
2014-06-23 00:00:00,41197232
2014-06-26 00:00:00,41385984
2014-06-29 00:00:00,41565324
2014-07-02 00:00:00,41755083
2014-07-05 00:00:00,41943394
2014-07-08 00:00:00,42110403
2014-07-11 00:00:00,42312577
2014-07-14 00:00:00,42477556
2014-07-17 00:00:00,42678822
2014-07-20 00:00:00,42868496
2014-07-23 00:00:00,43051952
2014-07-26 00:00:00,43245910
2014-07-29 00:00:00,43419821
2014-08-01 00:00:00,43616939
2014-08-04 00:00:00,43793954
2014-08-07 00:00:00,44013960
2014-08-10 00:00:00,44213658
2014-08-13 00:00:00,44424023
2014-08-16 00:00:00,44652197
2014-08-19 00:00:00,44852620
2014-08-22 00:00:00,45074219
2014-08-25 00:00:00,45255873
2014-08-28 00:00:00,45472902
2014-08-31 00:00:00,45671222
2014-09-03 00:00:00,45871302
2014-09-06 00:00:00,46082880
2014-09-09 00:00:00,46282143
2014-09-12 00:00:00,46502127
2014-09-15 00:00:00,46698904
2014-09-18 00:00:00,46945196
2014-09-21 00:00:00,47156242
2014-09-24 00:00:00,47365583
2014-09-27 00:00:00,47592450
2014-09-30 00:00:00,47796417
2014-10-03 00:00:00,48024460
2014-10-06 00:00:00,48233900
2014-10-09 00:00:00,48470108
2014-10-12 00:00:00,48698567
2014-10-15 00:00:00,48922428
2014-10-18 00:00:00,49143757
2014-10-21 00:00:00,49356377
2014-10-24 00:00:00,49598618
2014-10-27 00:00:00,49820021
2014-10-30 00:00:00,50086419
2014-11-02 00:00:00,50333527
2014-11-05 00:00:00,50590131
2014-11-08 00:00:00,50855747
2014-11-11 00:00:00,51091796
2014-11-14 00:00:00,51365099
2014-11-17 00:00:00,51600138
2014-11-20 00:00:00,51862128
2014-11-23 00:00:00,52107924
2014-11-26 00:00:00,52356355
2014-11-29 00:00:00,52612525
2014-12-02 00:00:00,52875294
2014-12-05 00:00:00,53171881
2014-12-08 00:00:00,53417501
2014-12-11 00:00:00,53688708
2014-12-14 00:00:00,53929359
2014-12-17 00:00:00,54205617
2014-12-20 00:00:00,54494163
2014-12-23 00:00:00,54757156
2014-12-26 00:00:00,55005775
2014-12-29 00:00:00,55233915
2015-01-01 00:00:00,55480094
2015-01-04 00:00:00,55702625
2015-01-07 00:00:00,55970450
2015-01-10 00:00:00,56269995
2015-01-13 00:00:00,56563545
2015-01-16 00:00:00,56892032
2015-01-19 00:00:00,57171499
2015-01-22 00:00:00,57464017
2015-01-25 00:00:00,57734051
2015-01-28 00:00:00,58027442
2015-01-31 00:00:00,58285575
2015-02-03 00:00:00,58536020
2015-02-06 00:00:00,58806421
2015-02-09 00:00:00,59059958
2015-02-12 00:00:00,59364866
2015-02-15 00:00:00,59665495
2015-02-18 00:00:00,59958714
2015-02-21 00:00:00,60255970
2015-02-24 00:00:00,60530333
2015-02-27 00:00:00,60842293
2015-03-02 00:00:00,61121472
2015-03-05 00:00:00,61437701
2015-03-08 00:00:00,61722528
2015-03-11 00:00:00,62020863
2015-03-14 00:00:00,62314941
2015-03-17 00:00:00,62595971
2015-03-20 00:00:00,62899747
2015-03-23 00:00:00,63187603
2015-03-26 00:00:00,63483022
2015-03-29 00:00:00,63772495
2015-04-01 00:00:00,64083766
2015-04-04 00:00:00,64419165
