Timestamp,output-volume
2018-08-25 00:00:00,660165.413677719
2018-08-26 00:00:00,515508.311929805
2018-08-27 00:00:00,974407.77346651
2018-08-28 00:00:00,1898012.5255596
2018-08-29 00:00:00,901330.970696554
2018-08-30 00:00:00,854611.498456042
2018-08-31 00:00:00,1543688.52643683
2018-09-01 00:00:00,881906.292394451
2018-09-02 00:00:00,827630.138095977
2018-09-03 00:00:00,924600.63591991
2018-09-04 00:00:00,936828.26664435
2018-09-05 00:00:00,963010.475818063
2018-09-06 00:00:00,1272957.10140993
2018-09-07 00:00:00,1086048.21016274
2018-09-08 00:00:00,718862.417205491
2018-09-09 00:00:00,720066.615522026
2018-09-10 00:00:00,861391.083900317
2018-09-11 00:00:00,922450.723033623
2018-09-12 00:00:00,876514.218575805
2018-09-13 00:00:00,1120970.31826269
2018-09-14 00:00:00,760332.51310262
2018-09-15 00:00:00,720910.992325383
2018-09-16 00:00:00,688822.066188933
2018-09-17 00:00:00,1079845.96312938
2018-09-18 00:00:00,1028529.03470505
2018-09-19 00:00:00,936652.793647649
2018-09-20 00:00:00,908828.514926196
2018-09-21 00:00:00,1183944.94132495
2018-09-22 00:00:00,749155.219570635
2018-09-23 00:00:00,526553.127734548
2018-09-24 00:00:00,788427.163307808
2018-09-25 00:00:00,1366731.26951542
2018-09-26 00:00:00,1069898.08967295
2018-09-27 00:00:00,906900.738282316
2018-09-28 00:00:00,1078383.89383538
2018-09-29 00:00:00,753691.166988629
2018-09-30 00:00:00,641266.009217047
2018-10-01 00:00:00,823577.905055144
2018-10-02 00:00:00,1253120.1126076
2018-10-03 00:00:00,791168.032811415
2018-10-04 00:00:00,843966.492125517
2018-10-05 00:00:00,739244.432331004
2018-10-06 00:00:00,614605.809360181
2018-10-07 00:00:00,500647.359567858
2018-10-08 00:00:00,829927.216630443
2018-10-09 00:00:00,750224.675947881
2018-10-10 00:00:00,1041130.21985007
2018-10-11 00:00:00,1061283.41027725
2018-10-12 00:00:00,1118361.91023428
2018-10-13 00:00:00,685161.779747514
2018-10-14 00:00:00,662564.610511681
2018-10-15 00:00:00,1284006.58967693
2018-10-16 00:00:00,827843.657398782
2018-10-17 00:00:00,893760.36539815
2018-10-18 00:00:00,985320.366910714
2018-10-19 00:00:00,961462.472685052
2018-10-20 00:00:00,674789.570546624
2018-10-21 00:00:00,538622.631264663
2018-10-22 00:00:00,877222.892777349
2018-10-23 00:00:00,1017938.4518048
2018-10-24 00:00:00,1003518.33134876
2018-10-25 00:00:00,1010728.0309273
2018-10-26 00:00:00,826397.818360214
2018-10-27 00:00:00,577406.711274925
2018-10-28 00:00:00,523974.139731546
2018-10-29 00:00:00,810038.60400315
2018-10-30 00:00:00,850773.866591296
2018-10-31 00:00:00,932172.355043596
2018-11-01 00:00:00,926913.497123248
2018-11-02 00:00:00,1267746.67648196
2018-11-03 00:00:00,597667.011591455
2018-11-04 00:00:00,608365.301840172
2018-11-05 00:00:00,871818.013698398
2018-11-06 00:00:00,888083.50817827
2018-11-07 00:00:00,878451.605965992
2018-11-08 00:00:00,789766.36631959
2018-11-09 00:00:00,857089.235802351
2018-11-10 00:00:00,588546.690339197
2018-11-11 00:00:00,544579.329538603
2018-11-12 00:00:00,864084.763386748
2018-11-13 00:00:00,889566.389583107
2018-11-14 00:00:00,1156024.04209104
2018-11-15 00:00:00,1892836.65725486
2018-11-16 00:00:00,1145277.43348059
2018-11-17 00:00:00,682834.848769345
2018-11-18 00:00:00,580343.13343274
2018-11-19 00:00:00,1073888.55074716
2018-11-20 00:00:00,2115839.92620457
2018-11-21 00:00:00,1309378.21656164
2018-11-22 00:00:00,1017073.34072962
2018-11-23 00:00:00,1157067.13593257
2018-11-24 00:00:00,905769.291971645
2018-11-25 00:00:00,1067554.80425339
2018-11-26 00:00:00,1292170.82986592
2018-11-27 00:00:00,1256470.047218
2018-11-28 00:00:00,1359972.83777003
2018-11-29 00:00:00,1172440.72112957
2018-11-30 00:00:00,1854914.42273533
2018-12-01 00:00:00,1246164.56719989
2018-12-02 00:00:00,976830.002516739
2018-12-03 00:00:00,1487029.07296055
2018-12-04 00:00:00,2223959.72628048
2018-12-05 00:00:00,1713030.63453315
2018-12-06 00:00:00,1633213.92741729
2018-12-07 00:00:00,1442343.99575016
2018-12-08 00:00:00,924413.91891536
2018-12-09 00:00:00,749837.224049977
2018-12-10 00:00:00,1070517.48663692
2018-12-11 00:00:00,1231285.19381345
2018-12-12 00:00:00,1100815.10721768
2018-12-13 00:00:00,1157180.23449254
2018-12-14 00:00:00,1159444.36929272
2018-12-15 00:00:00,813096.485976747
2018-12-16 00:00:00,846835.705204458
2018-12-17 00:00:00,1200556.1796838
2018-12-18 00:00:00,1371198.62085749
2018-12-19 00:00:00,1528751.68535913
2018-12-20 00:00:00,1323364.22491093
2018-12-21 00:00:00,1281402.42997921
2018-12-22 00:00:00,807079.97095809
2018-12-23 00:00:00,781016.263973671
2018-12-24 00:00:00,1102833.45494636
2018-12-25 00:00:00,1073554.20796952
2018-12-26 00:00:00,1118880.2924891
2018-12-27 00:00:00,1258835.33320189
2018-12-28 00:00:00,1263611.81643514
2018-12-29 00:00:00,1132732.36406683
2018-12-30 00:00:00,700163.047612885
2018-12-31 00:00:00,851324.493629795
2019-01-01 00:00:00,549766.653484672
2019-01-02 00:00:00,985716.743373064
2019-01-03 00:00:00,940397.964094003
2019-01-04 00:00:00,972455.822879595
2019-01-05 00:00:00,762435.096074581
2019-01-06 00:00:00,691139.036975958
2019-01-07 00:00:00,984689.398449994
2019-01-08 00:00:00,907272.319909191
2019-01-09 00:00:00,945619.489824482
2019-01-10 00:00:00,1165194.94224282
2019-01-11 00:00:00,1202241.87199114
2019-01-12 00:00:00,801972.738916147
2019-01-13 00:00:00,746729.863052947
2019-01-14 00:00:00,943758.900935683
2019-01-15 00:00:00,1387794.75292028
2019-01-16 00:00:00,999523.601245877
2019-01-17 00:00:00,865081.658681416
2019-01-18 00:00:00,890215.481432725
2019-01-19 00:00:00,635759.816179606
2019-01-20 00:00:00,673875.570953252
2019-01-21 00:00:00,1554582.03044088
2019-01-22 00:00:00,1169130.35186746
