Timestamp,mempool-count
2018-09-15 14:45:00,1797
2018-09-16 08:15:00,500
2018-09-17 01:45:00,2750
2018-09-17 19:15:00,1662
2018-09-18 12:45:00,2634
2018-09-19 06:15:00,1139.5
2018-09-19 23:45:00,455
2018-09-20 17:15:00,1145.5
2018-09-21 10:45:00,2973
2018-09-22 04:15:00,528
2018-09-22 21:45:00,520
2018-09-23 15:15:00,6324
2018-09-24 08:45:00,2930.5
2018-09-25 02:15:00,1046.5
2018-09-25 19:45:00,9079.5
2018-09-26 13:15:00,6947.5
2018-09-27 06:45:00,785
2018-09-28 00:15:00,1289.5
2018-09-28 17:45:00,6045
2018-09-29 11:15:00,654
2018-09-30 04:45:00,521
2018-09-30 22:15:00,925.5
2018-10-01 15:45:00,9881.5
2018-10-02 09:15:00,4592.5
2018-10-03 02:45:00,1035.5
2018-10-03 20:15:00,7493.5
2018-10-04 13:45:00,3165.5
2018-10-05 07:15:00,926
2018-10-06 00:45:00,1206
2018-10-06 18:15:00,976
2018-10-07 11:45:00,667
2018-10-08 05:15:00,918
2018-10-08 22:45:00,965
2018-10-09 16:15:00,1850.5
2018-10-10 09:45:00,1499.5
2018-10-11 03:15:00,1055.5
2018-10-11 20:45:00,1056
2018-10-12 14:15:00,15805
2018-10-13 07:45:00,1716.5
2018-10-14 01:15:00,1615.5
2018-10-14 18:45:00,2264
2018-10-15 12:15:00,7125.5
2018-10-16 05:45:00,965.5
2018-10-16 23:15:00,1347.5
2018-10-17 16:45:00,4553
2018-10-18 10:15:00,4978
2018-10-19 03:45:00,3257.5
2018-10-19 21:15:00,3356.5
2018-10-20 14:45:00,1831.5
2018-10-21 08:15:00,697
2018-10-22 01:45:00,2971
2018-10-22 19:15:00,6988
2018-10-23 12:45:00,2470.5
2018-10-24 06:15:00,8187
2018-10-24 23:45:00,2301.5
2018-10-25 17:15:00,9354
2018-10-26 10:45:00,8763
2018-10-27 04:15:00,713
2018-10-27 21:45:00,1167
2018-10-28 15:15:00,2884.5
2018-10-29 08:45:00,704.5
2018-10-30 02:15:00,3184
2018-10-30 19:45:00,853
2018-10-31 13:15:00,10943
2018-11-01 06:45:00,4975.5
2018-11-02 00:15:00,2487
2018-11-02 17:45:00,13013.5
2018-11-03 11:15:00,3276
2018-11-04 04:45:00,1483
2018-11-04 22:15:00,2760
2018-11-05 15:45:00,4359.5
2018-11-06 09:15:00,7345
2018-11-07 02:45:00,8592
