Timestamp,n-transactions
2018-06-09 00:00:00,171306
2018-06-10 00:00:00,179809
2018-06-11 00:00:00,213196
2018-06-12 00:00:00,214595
2018-06-13 00:00:00,211829
2018-06-14 00:00:00,210029
2018-06-15 00:00:00,205861
2018-06-16 00:00:00,159090
2018-06-17 00:00:00,144908
2018-06-18 00:00:00,196305
2018-06-19 00:00:00,191805
2018-06-20 00:00:00,198889
2018-06-21 00:00:00,198113
2018-06-22 00:00:00,204144
2018-06-23 00:00:00,163295
2018-06-24 00:00:00,158022
2018-06-25 00:00:00,200173
2018-06-26 00:00:00,195404
2018-06-27 00:00:00,188510
2018-06-28 00:00:00,187624
2018-06-29 00:00:00,197881
2018-06-30 00:00:00,181065
2018-07-01 00:00:00,156247
2018-07-02 00:00:00,199294
2018-07-03 00:00:00,216747
2018-07-04 00:00:00,206788
2018-07-05 00:00:00,199600
2018-07-06 00:00:00,200993
2018-07-07 00:00:00,170160
2018-07-08 00:00:00,155685
2018-07-09 00:00:00,206546
2018-07-10 00:00:00,216063
2018-07-11 00:00:00,202603
2018-07-12 00:00:00,203535
2018-07-13 00:00:00,207904
2018-07-14 00:00:00,176475
2018-07-15 00:00:00,161151
2018-07-16 00:00:00,207842
2018-07-17 00:00:00,233966
2018-07-18 00:00:00,238769
2018-07-19 00:00:00,225039
2018-07-20 00:00:00,225529
2018-07-21 00:00:00,184803
2018-07-22 00:00:00,167129
2018-07-23 00:00:00,229480
2018-07-24 00:00:00,259358
2018-07-25 00:00:00,250208
2018-07-26 00:00:00,231679
2018-07-27 00:00:00,229397
2018-07-28 00:00:00,188238
2018-07-29 00:00:00,168407
2018-07-30 00:00:00,230924
2018-07-31 00:00:00,242977
2018-08-01 00:00:00,241044
2018-08-02 00:00:00,224873
2018-08-03 00:00:00,229859
2018-08-04 00:00:00,191657
2018-08-05 00:00:00,172181
2018-08-06 00:00:00,218607
2018-08-07 00:00:00,233045
2018-08-08 00:00:00,235311
2018-08-09 00:00:00,222326
2018-08-10 00:00:00,226148
2018-08-11 00:00:00,192438
2018-08-12 00:00:00,165044
2018-08-13 00:00:00,222229
2018-08-14 00:00:00,247622
2018-08-15 00:00:00,246066
2018-08-16 00:00:00,232335
2018-08-17 00:00:00,233794
2018-08-18 00:00:00,190935
2018-08-19 00:00:00,167400
2018-08-20 00:00:00,214983
2018-08-21 00:00:00,217777
2018-08-22 00:00:00,230333
2018-08-23 00:00:00,217352
2018-08-24 00:00:00,219848
2018-08-25 00:00:00,196420
2018-08-26 00:00:00,172747
2018-08-27 00:00:00,223656
2018-08-28 00:00:00,238039
2018-08-29 00:00:00,237508
2018-08-30 00:00:00,231391
2018-08-31 00:00:00,237076
2018-09-01 00:00:00,213331
2018-09-02 00:00:00,187145
2018-09-03 00:00:00,222897
2018-09-04 00:00:00,232265
2018-09-05 00:00:00,246477
2018-09-06 00:00:00,252261
2018-09-07 00:00:00,230790
2018-09-08 00:00:00,204428
2018-09-09 00:00:00,188912
2018-09-10 00:00:00,222866
2018-09-11 00:00:00,237571
2018-09-12 00:00:00,233275
2018-09-13 00:00:00,234209
2018-09-14 00:00:00,223250
2018-09-15 00:00:00,211071
2018-09-16 00:00:00,179483
2018-09-17 00:00:00,240152
2018-09-18 00:00:00,244259
2018-09-19 00:00:00,251037
2018-09-20 00:00:00,253674
2018-09-21 00:00:00,273051
2018-09-22 00:00:00,225537
2018-09-23 00:00:00,200319
2018-09-24 00:00:00,237670
2018-09-25 00:00:00,252113
2018-09-26 00:00:00,243927
2018-09-27 00:00:00,248686
2018-09-28 00:00:00,254239
2018-09-29 00:00:00,218339
2018-09-30 00:00:00,208210
2018-10-01 00:00:00,242820
2018-10-02 00:00:00,244772
2018-10-03 00:00:00,242303
2018-10-04 00:00:00,243157
2018-10-05 00:00:00,244719
2018-10-06 00:00:00,214843
2018-10-07 00:00:00,219731
2018-10-08 00:00:00,248041
2018-10-09 00:00:00,235862
2018-10-10 00:00:00,244945
2018-10-11 00:00:00,262467
2018-10-12 00:00:00,243174
2018-10-13 00:00:00,205097
2018-10-14 00:00:00,191259
2018-10-15 00:00:00,266945
2018-10-16 00:00:00,257967
2018-10-17 00:00:00,260362
2018-10-18 00:00:00,253450
2018-10-19 00:00:00,253826
2018-10-20 00:00:00,227821
2018-10-21 00:00:00,211505
2018-10-22 00:00:00,255324
2018-10-23 00:00:00,253463
2018-10-24 00:00:00,254091
2018-10-25 00:00:00,254599
2018-10-26 00:00:00,253002
2018-10-27 00:00:00,233749
2018-10-28 00:00:00,219860
2018-10-29 00:00:00,269754
2018-10-30 00:00:00,283327
2018-10-31 00:00:00,288283
2018-11-01 00:00:00,281941
2018-11-02 00:00:00,292704
2018-11-03 00:00:00,249564
2018-11-04 00:00:00,229291
2018-11-05 00:00:00,293239
2018-11-06 00:00:00,285451
2018-11-07 00:00:00,293734
2018-11-08 00:00:00,277597
2018-11-09 00:00:00,283896
2018-11-10 00:00:00,252499
2018-11-11 00:00:00,246991
2018-11-12 00:00:00,300006
2018-11-13 00:00:00,279160
2018-11-14 00:00:00,292755
2018-11-15 00:00:00,291525
2018-11-16 00:00:00,283124
2018-11-17 00:00:00,262649
2018-11-18 00:00:00,239803
2018-11-19 00:00:00,267971
2018-11-20 00:00:00,288450
2018-11-21 00:00:00,254942
2018-11-22 00:00:00,266116
2018-11-23 00:00:00,275261
2018-11-24 00:00:00,250017
2018-11-25 00:00:00,239256
2018-11-26 00:00:00,257062
2018-11-27 00:00:00,268533
2018-11-28 00:00:00,254456
2018-11-29 00:00:00,246226
2018-11-30 00:00:00,250157
2018-12-01 00:00:00,241847
2018-12-02 00:00:00,222673
2018-12-03 00:00:00,240652
2018-12-04 00:00:00,270189
2018-12-05 00:00:00,256501
2018-12-06 00:00:00,279654
2018-12-07 00:00:00,253890
2018-12-08 00:00:00,231104
2018-12-09 00:00:00,238569
2018-12-10 00:00:00,258353
2018-12-11 00:00:00,251487
2018-12-12 00:00:00,261423
2018-12-13 00:00:00,268422
2018-12-14 00:00:00,275801
2018-12-15 00:00:00,262879
2018-12-16 00:00:00,226453
2018-12-17 00:00:00,298823
2018-12-18 00:00:00,266245
2018-12-19 00:00:00,302392
2018-12-20 00:00:00,287273
2018-12-21 00:00:00,280588
2018-12-22 00:00:00,251216
2018-12-23 00:00:00,250739
2018-12-24 00:00:00,272297
2018-12-25 00:00:00,265052
2018-12-26 00:00:00,281305
2018-12-27 00:00:00,300020
2018-12-28 00:00:00,308267
2018-12-29 00:00:00,264980
2018-12-30 00:00:00,267639
2018-12-31 00:00:00,259684
2019-01-01 00:00:00,234725
2019-01-02 00:00:00,271696
2019-01-03 00:00:00,291016
2019-01-04 00:00:00,281772
2019-01-05 00:00:00,265192
2019-01-06 00:00:00,258522
2019-01-07 00:00:00,284782
2019-01-08 00:00:00,318524
2019-01-09 00:00:00,319056
2019-01-10 00:00:00,327338
2019-01-11 00:00:00,308372
2019-01-12 00:00:00,281502
2019-01-13 00:00:00,276997
2019-01-14 00:00:00,326685
2019-01-15 00:00:00,302279
2019-01-16 00:00:00,305702
2019-01-17 00:00:00,296695
2019-01-18 00:00:00,305965
2019-01-19 00:00:00,282188
2019-01-20 00:00:00,294118
2019-01-21 00:00:00,315202
2019-01-22 00:00:00,296040
2019-01-23 00:00:00,293494
2019-01-24 00:00:00,308146
2019-01-25 00:00:00,301085
2019-01-26 00:00:00,288285
2019-01-27 00:00:00,276651
2019-01-28 00:00:00,308062
2019-01-29 00:00:00,326162
2019-01-30 00:00:00,321980
2019-01-31 00:00:00,353945
2019-02-01 00:00:00,339341
2019-02-02 00:00:00,322032
2019-02-03 00:00:00,300171
2019-02-04 00:00:00,335288
2019-02-05 00:00:00,354069
2019-02-06 00:00:00,349596
2019-02-07 00:00:00,353046
2019-02-08 00:00:00,335280
2019-02-09 00:00:00,310892
2019-02-10 00:00:00,299609
2019-02-11 00:00:00,315725
2019-02-12 00:00:00,271573
2019-02-13 00:00:00,352651
2019-02-14 00:00:00,354483
2019-02-15 00:00:00,296729
2019-02-16 00:00:00,332137
2019-02-17 00:00:00,327463
2019-02-18 00:00:00,344274
2019-02-19 00:00:00,348242
2019-02-20 00:00:00,314320
2019-02-21 00:00:00,297595
2019-02-22 00:00:00,350306
2019-02-23 00:00:00,328239
2019-02-24 00:00:00,320446
2019-02-25 00:00:00,336634
2019-02-26 00:00:00,366568
2019-02-27 00:00:00,344560
2019-02-28 00:00:00,367827
2019-03-01 00:00:00,354422
2019-03-02 00:00:00,335864
2019-03-03 00:00:00,353683
2019-03-04 00:00:00,304188
2019-03-05 00:00:00,285716
2019-03-06 00:00:00,277863
2019-03-07 00:00:00,282523
2019-03-08 00:00:00,285264
2019-03-09 00:00:00,239492
2019-03-10 00:00:00,212877
2019-03-11 00:00:00,294741
2019-03-12 00:00:00,285653
2019-03-13 00:00:00,285957
2019-03-14 00:00:00,299929
2019-03-15 00:00:00,296970
2019-03-16 00:00:00,262267
2019-03-17 00:00:00,227290
2019-03-18 00:00:00,291505
2019-03-19 00:00:00,304744
2019-03-20 00:00:00,304960
2019-03-21 00:00:00,300712
2019-03-22 00:00:00,298524
2019-03-23 00:00:00,251573
2019-03-24 00:00:00,226166
2019-03-25 00:00:00,322191
2019-03-26 00:00:00,366415
2019-03-27 00:00:00,383186
2019-03-28 00:00:00,393698
2019-03-29 00:00:00,369817
2019-03-30 00:00:00,377783
2019-03-31 00:00:00,381652
2019-04-01 00:00:00,368904
2019-04-02 00:00:00,401507
2019-04-03 00:00:00,360250
2019-04-04 00:00:00,354660
2019-04-05 00:00:00,387090
2019-04-06 00:00:00,359569
2019-04-07 00:00:00,350631
2019-04-08 00:00:00,372417
2019-04-09 00:00:00,346071
2019-04-10 00:00:00,396501
2019-04-11 00:00:00,402802
2019-04-12 00:00:00,376767
2019-04-13 00:00:00,367076
2019-04-14 00:00:00,337030
2019-04-15 00:00:00,381473
2019-04-16 00:00:00,358517
2019-04-17 00:00:00,350737
2019-04-18 00:00:00,382981
2019-04-19 00:00:00,362128
2019-04-20 00:00:00,319840
2019-04-21 00:00:00,390735
2019-04-22 00:00:00,342014
2019-04-23 00:00:00,311753
2019-04-24 00:00:00,404279
2019-04-25 00:00:00,384089
2019-04-26 00:00:00,381209
2019-04-27 00:00:00,359008
2019-04-28 00:00:00,383291
2019-04-29 00:00:00,363207
2019-04-30 00:00:00,346486
2019-05-01 00:00:00,439549
2019-05-02 00:00:00,452646
2019-05-03 00:00:00,383032
2019-05-04 00:00:00,355910
2019-05-05 00:00:00,330732
2019-05-06 00:00:00,378476
2019-05-07 00:00:00,329943
2019-05-08 00:00:00,393081
2019-05-09 00:00:00,361569
2019-05-10 00:00:00,322963
2019-05-11 00:00:00,344957
2019-05-12 00:00:00,338571
2019-05-13 00:00:00,390428
2019-05-14 00:00:00,367370
2019-05-15 00:00:00,368901
2019-05-16 00:00:00,375062
2019-05-17 00:00:00,361654
2019-05-18 00:00:00,359704
2019-05-19 00:00:00,346859
2019-05-20 00:00:00,381582
2019-05-21 00:00:00,380889
2019-05-22 00:00:00,394887
2019-05-23 00:00:00,389343
2019-05-24 00:00:00,373882
2019-05-25 00:00:00,338398
2019-05-26 00:00:00,374072
2019-05-27 00:00:00,399584
2019-05-28 00:00:00,390427
2019-05-29 00:00:00,405155
2019-05-30 00:00:00,376874
2019-05-31 00:00:00,298997
2019-06-01 00:00:00,332092
2019-06-02 00:00:00,301003
2019-06-03 00:00:00,294009
2019-06-04 00:00:00,374763
2019-06-05 00:00:00,372948
2019-06-06 00:00:00,364526
2019-06-07 00:00:00,350011
2019-06-08 00:00:00,294369
2019-06-09 00:00:00,300917
2019-06-10 00:00:00,353629
2019-06-11 00:00:00,340449
2019-06-12 00:00:00,328464
2019-06-13 00:00:00,364373
2019-06-14 00:00:00,364383
2019-06-15 00:00:00,330954
2019-06-16 00:00:00,295254
2019-06-17 00:00:00,321072
2019-06-18 00:00:00,394843
2019-06-19 00:00:00,401032
2019-06-20 00:00:00,330103
2019-06-21 00:00:00,337741
2019-06-22 00:00:00,354075
2019-06-23 00:00:00,380088
2019-06-24 00:00:00,388342
2019-06-25 00:00:00,361385
2019-06-26 00:00:00,399624
2019-06-27 00:00:00,361050
2019-06-28 00:00:00,407094
2019-06-29 00:00:00,356682
2019-06-30 00:00:00,330731
2019-07-01 00:00:00,336862
2019-07-02 00:00:00,373409
2019-07-03 00:00:00,397554
2019-07-04 00:00:00,370704
2019-07-05 00:00:00,378453
2019-07-06 00:00:00,348674
2019-07-07 00:00:00,313273
2019-07-08 00:00:00,378966
2019-07-09 00:00:00,365588
2019-07-10 00:00:00,315664
2019-07-11 00:00:00,325776
2019-07-12 00:00:00,360899
2019-07-13 00:00:00,304545
2019-07-14 00:00:00,303287
2019-07-15 00:00:00,349111
2019-07-16 00:00:00,363337
2019-07-17 00:00:00,324892
2019-07-18 00:00:00,315745
2019-07-19 00:00:00,299891
2019-07-20 00:00:00,323002
2019-07-21 00:00:00,283934
2019-07-22 00:00:00,319399
2019-07-23 00:00:00,320352
2019-07-24 00:00:00,295589
2019-07-25 00:00:00,336536
2019-07-26 00:00:00,319612
2019-07-27 00:00:00,283892
2019-07-28 00:00:00,272974
2019-07-29 00:00:00,333619
2019-07-30 00:00:00,328375
2019-07-31 00:00:00,361337
2019-08-01 00:00:00,335943
2019-08-02 00:00:00,349556
2019-08-03 00:00:00,327588
2019-08-04 00:00:00,298805
2019-08-05 00:00:00,339136
2019-08-06 00:00:00,368348
2019-08-07 00:00:00,370909
2019-08-08 00:00:00,336181
2019-08-09 00:00:00,341125
2019-08-10 00:00:00,304138
2019-08-11 00:00:00,273280
2019-08-12 00:00:00,297446
2019-08-13 00:00:00,370747
2019-08-14 00:00:00,359997
2019-08-15 00:00:00,355644
2019-08-16 00:00:00,323625
2019-08-17 00:00:00,288256
2019-08-18 00:00:00,276365
2019-08-19 00:00:00,330473
2019-08-20 00:00:00,333304
2019-08-21 00:00:00,308808
2019-08-22 00:00:00,322453
2019-08-23 00:00:00,340220
2019-08-24 00:00:00,304481
2019-08-25 00:00:00,288934
2019-08-26 00:00:00,318219
2019-08-27 00:00:00,325984
2019-08-28 00:00:00,341200
2019-08-29 00:00:00,346734
2019-08-30 00:00:00,349200
2019-08-31 00:00:00,342195
2019-09-01 00:00:00,285468
2019-09-02 00:00:00,327248
2019-09-03 00:00:00,370631
2019-09-04 00:00:00,324741
2019-09-05 00:00:00,352410
2019-09-06 00:00:00,365531
2019-09-07 00:00:00,314429
2019-09-08 00:00:00,288507
2019-09-09 00:00:00,316852
2019-09-10 00:00:00,339858
2019-09-11 00:00:00,338276
2019-09-12 00:00:00,335868
2019-09-13 00:00:00,308856
2019-09-14 00:00:00,299894
2019-09-15 00:00:00,274146
2019-09-16 00:00:00,347341
