Timestamp,blocks-size
2018-04-19 00:00:00,165620.384744
2018-04-20 00:00:00,165732.461665
2018-04-21 00:00:00,165845.313254
2018-04-22 00:00:00,165966.544967
2018-04-23 00:00:00,166055.769243
2018-04-24 00:00:00,166172.666117
2018-04-25 00:00:00,166326.486444
2018-04-26 00:00:00,166454.808243
2018-04-27 00:00:00,166579.501606
2018-04-28 00:00:00,166715.246536
2018-04-29 00:00:00,166822.561778
2018-04-30 00:00:00,166921.216729
2018-05-01 00:00:00,167037.514484
2018-05-02 00:00:00,167143.624048
2018-05-03 00:00:00,167266.980876
2018-05-04 00:00:00,167398.058041
2018-05-05 00:00:00,167532.585158
2018-05-06 00:00:00,167648.431591
2018-05-07 00:00:00,167753.367798
2018-05-08 00:00:00,167882.584401
2018-05-09 00:00:00,168010.767442
2018-05-10 00:00:00,168127.36946
2018-05-11 00:00:00,168241.002189
2018-05-12 00:00:00,168377.675827
2018-05-13 00:00:00,168483.897268
2018-05-14 00:00:00,168569.019327
2018-05-15 00:00:00,168683.560816
2018-05-16 00:00:00,168798.797235
2018-05-17 00:00:00,168908.543521
2018-05-18 00:00:00,169021.985682
2018-05-19 00:00:00,169146.199585
2018-05-20 00:00:00,169235.526598
2018-05-21 00:00:00,169315.61935
2018-05-22 00:00:00,169433.939339
2018-05-23 00:00:00,169539.567659
2018-05-24 00:00:00,169660.765346
2018-05-25 00:00:00,169763.80447
2018-05-26 00:00:00,169874.399246
2018-05-27 00:00:00,169952.989056
2018-05-28 00:00:00,170026.319757
2018-05-29 00:00:00,170137.920977
2018-05-30 00:00:00,170253.738107
2018-05-31 00:00:00,170362.656132
2018-06-01 00:00:00,170482.888342
2018-06-02 00:00:00,170601.609994
2018-06-03 00:00:00,170697.252526
2018-06-04 00:00:00,170823.051292
2018-06-05 00:00:00,171016.169192
2018-06-06 00:00:00,171164.723735
2018-06-07 00:00:00,171310.528395
2018-06-08 00:00:00,171465.353152
2018-06-09 00:00:00,171594.874782
2018-06-10 00:00:00,171685.688489
2018-06-11 00:00:00,171781.749348
2018-06-12 00:00:00,171893.198198
2018-06-13 00:00:00,172044.581589
2018-06-14 00:00:00,172175.297459
2018-06-15 00:00:00,172289.096215
2018-06-16 00:00:00,172411.645198
2018-06-17 00:00:00,172489.797117
2018-06-18 00:00:00,172567.357194
2018-06-19 00:00:00,172673.095076
2018-06-20 00:00:00,172814.466859
2018-06-21 00:00:00,172982.040611
2018-06-22 00:00:00,173085.428764
2018-06-23 00:00:00,173206.617086
2018-06-24 00:00:00,173291.084612
2018-06-25 00:00:00,173374.969294
2018-06-26 00:00:00,173518.872439
2018-06-27 00:00:00,173675.335236
2018-06-28 00:00:00,173807.082201
2018-06-29 00:00:00,173915.481324
2018-06-30 00:00:00,174028.09978
2018-07-01 00:00:00,174167.294924
2018-07-02 00:00:00,174270.308688
2018-07-03 00:00:00,174410.21912
2018-07-04 00:00:00,174539.463514
2018-07-05 00:00:00,174664.828011
2018-07-06 00:00:00,174771.856419
2018-07-07 00:00:00,174881.509275
2018-07-08 00:00:00,174964.966779
2018-07-09 00:00:00,175059.11978
2018-07-10 00:00:00,175203.422382
2018-07-11 00:00:00,175348.424658
2018-07-12 00:00:00,175484.438415
2018-07-13 00:00:00,175650.306613
2018-07-14 00:00:00,175809.500512
2018-07-15 00:00:00,175963.751701
2018-07-16 00:00:00,176066.50165
2018-07-17 00:00:00,176178.227507
2018-07-18 00:00:00,176322.739538
2018-07-19 00:00:00,176504.750997
2018-07-20 00:00:00,176630.119741
2018-07-21 00:00:00,176755.927014
2018-07-22 00:00:00,176854.086632
2018-07-23 00:00:00,176935.590773
2018-07-24 00:00:00,177083.863897
2018-07-25 00:00:00,177229.841825
2018-07-26 00:00:00,177400.300232
2018-07-27 00:00:00,177527.067378
2018-07-28 00:00:00,177675.622409
2018-07-29 00:00:00,177785.47067
2018-07-30 00:00:00,177877.656742
2018-07-31 00:00:00,177999.359159
2018-08-01 00:00:00,178139.392541
2018-08-02 00:00:00,178287.97351
2018-08-03 00:00:00,178410.857667
2018-08-04 00:00:00,178549.904186
2018-08-05 00:00:00,178650.865847
2018-08-06 00:00:00,178742.661865
2018-08-07 00:00:00,178881.24578
2018-08-08 00:00:00,179034.614376
2018-08-09 00:00:00,179161.699697
2018-08-10 00:00:00,179281.572371
2018-08-11 00:00:00,179421.462994
2018-08-12 00:00:00,179525.290817
2018-08-13 00:00:00,179616.124431
2018-08-14 00:00:00,179751.63137
2018-08-15 00:00:00,179889.739171
2018-08-16 00:00:00,180017.091513
2018-08-17 00:00:00,180137.095686
2018-08-18 00:00:00,180264.12653
2018-08-19 00:00:00,180358.720635
2018-08-20 00:00:00,180447.575732
2018-08-21 00:00:00,180570.757379
2018-08-22 00:00:00,180686.573778
2018-08-23 00:00:00,180809.652638
2018-08-24 00:00:00,180924.487648
2018-08-25 00:00:00,181044.812692
2018-08-26 00:00:00,181147.714817
2018-08-27 00:00:00,181245.43122
2018-08-28 00:00:00,181376.185912
2018-08-29 00:00:00,181510.696634
2018-08-30 00:00:00,181636.273387
2018-08-31 00:00:00,181762.80476
2018-09-01 00:00:00,181887.790705
2018-09-02 00:00:00,182004.672404
2018-09-03 00:00:00,182097.608134
2018-09-04 00:00:00,182219.34457
2018-09-05 00:00:00,182340.615106
2018-09-06 00:00:00,182473.750828
2018-09-07 00:00:00,182606.532281
2018-09-08 00:00:00,182741.308153
2018-09-09 00:00:00,182848.562518
